EG	GN	SP	JW	Ori	LeftEnd	RightEnd
EG13497	yeaK	P64483	JW1776	Clockwise	1871598	1872101
EG13498	yeaL	P0ACY6	JW1778	Clockwise	1872376	1872822
EG13499	yeaM	P76241	JW1779	Counterclockwise	1872779	1873600
EG13500	yeaN	P76242	JW1780	Clockwise	1873697	1874878
EG13501	yeaO	P76243	JW1781	Clockwise	1874933	1875280
EG13502	yeaP	P76245	JW5292	Clockwise	1875739	1876764
EG13503	yeaQ	P64485	JW1784	Counterclockwise	1877031	1877279
EG13504	yeaR	P64488	JW1786	Counterclockwise	1877613	1877972
EG13505	leuE	P76249	JW1787	Counterclockwise	1878145	1878783
EG13506	dmlR	P76250	JW1788	Counterclockwise	1878910	1879833
EG13507	dmlA	P76251	JW1789	Clockwise	1879936	1881021
EG13508	yeaV	P0ABD1	JW5293	Clockwise	1881212	1882657
EG13509	yeaW	P0ABR7	JW5294	Clockwise	1882689	1883813
EG13510	yeaX	P76254	JW1792	Clockwise	1883869	1884834
EG13511	yeaY	P0AA91	JW1795	Counterclockwise	1887975	1888556
EG13512	yeaZ	P76256	JW1796	Counterclockwise	1888596	1889291
EG13513	yoaA	P76257	JW1797	Counterclockwise	1889349	1891259
EG13514	yoaB	P0AEB7	JW5295	Clockwise	1891391	1891735
EG13515	yoaC	P64490	JW5296	Clockwise	1892157	1892456
EG13516	adrB	P76261	JW1804	Clockwise	1896451	1898049
EG13517	yoaE	P0AEC0	JW1805	Counterclockwise	1898053	1899609
EG13523	csiD	P76621	JW5427	Clockwise	2787007	2787984
EG13524	ygaV	P77295	JW2642	Clockwise	2795233	2795532
EG13525	ygaW	P64550	JW2645	Clockwise	2797186	2797635
EG13528	ygaZ	P76630	JW2657	Clockwise	2807639	2808376
EG13529	yqaA	P0ADR0	JW2664	Counterclockwise	2814534	2814962
EG13530	yqaB	P77475	JW2665	Counterclockwise	2814959	2815525
EG13531	ybdL	P77806	JW0593	Clockwise	632809	633969
EG13532	ybdM	P77174	JW0594	Counterclockwise	633970	634599
EG13533	ybdN	P77216	JW0595	Counterclockwise	634572	635792
EG13534	ybdO	P77746	JW0596	Counterclockwise	635939	636841
EG13535	dsbG	P77202	JW0597	Counterclockwise	637050	637796
EG13537	ybdR	P77316	JW0601	Clockwise	641311	642549
EG13538	citT	P0AE74	JW0604	Counterclockwise	644340	645803
EG13539	citG	P77231	JW0605	Counterclockwise	645854	646732
EG13540	citX	P0A6G5	JW0606	Counterclockwise	646707	647258
EG13541	citF	P75726	JW5087	Counterclockwise	647262	648794
EG13542	citE	P0A9I1	JW0608	Counterclockwise	648805	649713
EG13543	citD	P69330	JW0609	Counterclockwise	649710	650006
EG13544	dpiA	P0AEF4	JW0612	Clockwise	653085	653765
EG13545	dcuC	P0ABP3	"JW0613;JW0616"	Counterclockwise	653806	655191
EG13546	nemA	P77258	JW1642	Clockwise	1724683	1725780
EG13547	ivy	P0AD59	JW0210	Clockwise	240343	240816
EG13548	ykfB	P77162	JW0239	Counterclockwise	264844	265311
EG13550	yagK	P77657	JW0271	Counterclockwise	291546	292172
EG13551	yagL	P77607	JW0272	Counterclockwise	292444	293142
EG13552	yagM	P71296	JW0273	Counterclockwise	293169	294023
EG13553	yagN	P71297	JW0274	Counterclockwise	294363	294803
EG13554	intF	P71298	JW0275	Counterclockwise	294920	296320
EG13556	paoD	P77183	JW0277	Counterclockwise	296994	297950
EG13557	paoC	P77489	JW0278	Counterclockwise	297960	300158
EG13558	paoB	P77324	JW0279	Counterclockwise	300155	301111
EG13559	paoA	P77165	JW0280	Counterclockwise	301108	301797
EG13560	yagU	P0AAA1	JW0281	Clockwise	302215	302829
EG13561	yagV	P77263	JW5030	Counterclockwise	303719	304429
EG13562	yagW	P77694	JW0284	Counterclockwise	304398	306041
EG13563	yagX	P77802	JW0285	Counterclockwise	306031	308556
EG13564	matC	P77188	JW0286	Counterclockwise	308582	309250
EG13565	matB	P0AAA3	JW0287	Counterclockwise	309308	309895
EG13566	wza	P0A930	JW2047	Counterclockwise	2134128	2135267
EG13567	wzb	P0AAB2	JW2046	Counterclockwise	2133679	2134122
EG13568	wzc	P76387	JW2045	Counterclockwise	2131514	2133676
EG13569	wcaA	P77414	JW2044	Counterclockwise	2130582	2131421
EG13570	wcaB	P0ACC9	JW2043	Counterclockwise	2130091	2130579
EG13571	wcaC	P71237	JW2042	Counterclockwise	2128877	2130094
EG13572	wcaD	P71238	JW2041	Counterclockwise	2127685	2128902
EG13573	wcaE	P71239	JW2040	Counterclockwise	2126928	2127674
EG13574	wcaF	P0ACD2	JW2039	Counterclockwise	2126364	2126912
EG13575	wcaJ	P71241	JW2032	Counterclockwise	2118184	2119578
EG13576	wzxC	P77377	JW2031	Counterclockwise	2116704	2118182
EG13577	wcaK	P71242	JW2030	Counterclockwise	2115148	2116428
EG13578	galF	P0AAB6	JW2027	Counterclockwise	2111458	2112351
EG13579	ykgB	P75685	JW5038	Counterclockwise	316950	317543
EG13580	ykgC	P77212	JW5040	Counterclockwise	317900	319225
EG13581	ykgD	P77379	JW0298	Clockwise	319451	320305
EG13582	ykgE	P77252	JW5041	Clockwise	320832	321551
EG13583	ykgF	P77536	JW0300	Clockwise	321562	322989
EG13584	ykgG	P77433	JW5042	Clockwise	322982	323677
EG13585	ykgH	P77180	JW0302	Counterclockwise	323920	324588
EG13586	yahB	P77700	JW0308	Counterclockwise	332725	333657
EG13587	yahC	P77219	JW0309	Counterclockwise	333749	334246
EG13588	yahD	P77736	JW0310	Clockwise	334504	335109
EG13589	yahE	P77297	JW0311	Clockwise	335149	336012
EG13590	yahF	P77187	JW0312	Clockwise	336002	337549
EG13591	yahG	P77221	JW0313	Clockwise	337549	338967
EG13593	yahI	P77624	JW0315	Clockwise	339389	340339
EG13594	yahJ	P77554	JW0316	Clockwise	340349	341731
EG13595	yahK	P75691	JW0317	Clockwise	342108	343157
EG13596	yahL	P77393	JW0318	Clockwise	343400	344215
EG13597	yahM	P75692	JW5044	Clockwise	344628	344873
EG13598	yahN	P75693	JW0320	Counterclockwise	344890	345561
EG13599	yahO	P75694	JW0321	Clockwise	345708	345983
EG13600	prpR	P77743	JW0322	Counterclockwise	346081	347667
EG13601	prpB	P77541	JW0323	Clockwise	347906	348796
EG13603	prpD	P77243	JW0325	Clockwise	350439	351890
EG13604	prpE	P77495	JW0326	Clockwise	351930	353816
EG13607	yaiV	P0AAP5	JW0366	Clockwise	393730	394353
EG13608	yaiW	P77562	JW0369	Clockwise	397096	398190
EG13609	proY	P0AAE2	JW5055	Clockwise	420210	421583
EG13611	yajO	P77735	JW0409	Counterclockwise	436385	437359
EG13612	dxs	P77488	JW0410	Counterclockwise	437539	439401
EG13613	yajQ	P0A8E7	JW5058	Clockwise	443907	444398
EG13614	yajR	P77726	JW5059	Counterclockwise	444526	445890
EG13615	allA	P77731	JW0493	Clockwise	531675	532157
EG13616	allR	P0ACN4	JW0494	Clockwise	532235	533050
EG13618	ybbW	P75712	JW0499	Clockwise	536857	538311
EG13619	allB	P77671	JW0500	Clockwise	538371	539732
EG13620	ybbY	P77328	JW0501	Clockwise	539789	541090
EG13621	glxK	P77364	JW0502	Clockwise	541112	542257
EG13622	ylbA	P75713	JW0503	Counterclockwise	542485	543270
EG13623	allC	P77425	JW0504	Counterclockwise	543281	544516
EG13624	allD	P77555	JW0505	Counterclockwise	544538	545587
EG13625	mhpF	P77580	JW0342	Clockwise	372145	373095
EG13626	ylbF	P0AAS5	JW0509	Clockwise	548850	549665
EG13627	ybcK	P77698	JW0532	Clockwise	568125	569651
EG13628	ybcL	P77368	JW0533	Clockwise	570116	570667
EG13629	ybcM	P77634	JW0534	Clockwise	570677	571474
EG13630	ybcN	Q47269	JW0535	Clockwise	571689	572144
EG13631	ybcO	P68661	JW0537	Clockwise	572307	572597
EG13633	quuD	Q47274	JW0539	Clockwise	573179	573562
EG13634	essD	P0A9R2	JW0543	Clockwise	576621	576836
EG13635	arrD	P78285	JW0544	Clockwise	576836	577333
EG13636	rzpD	P75719	JW5079	Clockwise	577330	577791
EG13637	borD	P77330	JW0546	Counterclockwise	577823	578116
EG13638	ybcV	P77598	JW5081	Counterclockwise	578407	578817
EG13639	ybcW	P64435	JW0548	Clockwise	579103	579309
EG13642	cusS	P77485	JW5082	Counterclockwise	592551	593993
EG13643	ybdJ	P77506	JW0569	Counterclockwise	605174	605422
EG13644	ybdK	P77213	JW0570	Counterclockwise	605488	606606
EG13645	citC	P77390	JW0610	Counterclockwise	650021	651079
EG13646	dpiB	P77510	JW0611	Clockwise	651458	653116
EG13647	ybeQ	P77234	JW5091	Counterclockwise	674793	675770
EG13648	ybeR	P77627	JW0640	Clockwise	675934	676641
EG13649	djlB	P77381	JW0641	Clockwise	676638	678065
EG13650	ybeT	P77296	JW0642	Counterclockwise	678075	678629
EG13651	ybeU	P77427	JW0643	Clockwise	678731	679438
EG13652	djlC	P77359	JW0644	Clockwise	679435	680886
EG13653	hscC	P77319	JW0645	Counterclockwise	680946	682616
EG13654	ybeX	P0AE78	JW0655	Counterclockwise	690129	691007
EG13655	ybeY	P0A898	JW0656	Counterclockwise	691097	691564
EG13656	ybeZ	P0A9K3	JW0657	Counterclockwise	691561	692601
EG13657	miaB	P0AEI1	JW0658	Counterclockwise	692754	694178
EG13658	ubiF	P75728	JW0659	Clockwise	694324	695499
EG13659	chiP	P75733	JW0667	Clockwise	707557	708963
EG13660	chiQ	P75734	JW0668	Clockwise	709013	709339
EG13662	zitB	P75757	JW0735	Counterclockwise	783105	784046
EG13663	ybgS	P0AAV6	JW0736	Counterclockwise	784160	784540
EG13664	ybhH	P0AAV8	JW0752	Clockwise	799982	801034
EG13665	ybhI	P75763	JW0753	Clockwise	801110	802543
EG13666	ybhJ	P75764	JW5103	Clockwise	802726	804987
EG13667	ybhK	P75767	JW0763	Counterclockwise	814962	815870
EG13668	ybhL	P0AAC4	JW0769	Clockwise	819107	819811
EG13669	ybhM	P75769	JW0770	Clockwise	820016	820729
EG13670	ybhN	P75770	JW0771	Counterclockwise	820765	821721
EG13671	ybhO	P0AA84	JW0772	Counterclockwise	821721	822962
EG13672	ybhP	P0AAW1	JW0773	Counterclockwise	822959	823720
EG13673	ybhQ	P0AAW5	JW0774	Clockwise	823853	824263
EG13674	ybhR	P0AFP9	JW5803	Counterclockwise	824225	825331
EG13675	ybhS	P0AFQ2	JW0777	Counterclockwise	825342	826475
EG13676	ybjG	P75806	JW5112	Counterclockwise	882015	882611
EG13677	ybjH	P0AAY4	JW0827	Counterclockwise	884169	884453
EG13678	ybjI	P75809	JW5113	Counterclockwise	884539	885354
EG13679	ybjJ	P75810	JW0829	Counterclockwise	885354	886562
EG13680	ybjK	P75811	JW5114	Clockwise	886646	887182
EG13681	ybjL	P60869	JW0831	Counterclockwise	887357	889042
EG13682	ybjM	P64439	JW0832	Clockwise	889312	889689
EG13683	ybjN	P0AAY6	JW0837	Clockwise	892180	892656
EG13684	ybjO	P0AAZ0	JW0842	Clockwise	897212	897700
EG13685	ybjP	P75818	JW0849	Counterclockwise	903175	903690
EG13686	ybjQ	P0A8C1	JW0850	Clockwise	903816	904139
EG13687	amiD	P75820	JW0851	Clockwise	904136	904966
EG13688	ybjS	P75821	JW5819	Counterclockwise	904963	905976
EG13689	ybjT	P75822	JW5116	Counterclockwise	906075	907505
EG13690	ltaE	P75823	JW0854	Counterclockwise	907516	908517
EG13691	hcr	P75824	JW5117	Counterclockwise	910405	911373
EG13692	hcp	P75825	JW0857	Counterclockwise	911385	913037
EG13693	ybjX	P75829	JW0861	Counterclockwise	917351	918343
EG13694	macA	P75830	JW0862	Clockwise	918458	919573
EG13695	macB	P75831	JW0863	Clockwise	919570	921516
EG13696	mdfA	P0AEY8	JW0826	Clockwise	882896	884128
EG13697	ycaM	P75835	JW5119	Clockwise	946452	947882
EG13698	ycaN	P75836	JW0883	Counterclockwise	947883	948791
EG13699	ycaO	P75838	JW0888	Counterclockwise	954095	955855
EG13700	ycaP	P75839	JW0889	Clockwise	955985	956677
EG13701	ycaQ	P75843	JW0899	Clockwise	968612	969844
EG13702	ycbJ	P0AB03	JW0902	Clockwise	970975	971868
EG13703	ycbK	P0AB06	JW0909	Clockwise	982298	982846
EG13704	ycbL	P75849	JW0910	Clockwise	982873	983520
EG13705	ssuC	P75851	JW5121	Counterclockwise	993264	994055
EG13706	ssuD	P80645	JW0918	Counterclockwise	994066	995211
EG13707	ssuA	P75853	JW0919	Counterclockwise	995208	996167
EG13708	ssuE	P80644	JW0920	Counterclockwise	996160	996735
EG13709	elfA	P75855	JW5122	Clockwise	997091	997630
EG13710	elfD	P75856	JW0922	Clockwise	997713	998414
EG13711	elfC	P75857	JW0923	Clockwise	998439	1001039
EG13712	elfG	P75858	JW0924	Clockwise	1001030	1002100
EG13713	ycbU	P75859	JW0925	Clockwise	1002112	1002654
EG13714	ycbV	P75860	JW5123	Clockwise	1002662	1003177
EG13715	ycbW	P75862	JW5125	Clockwise	1005175	1005717
EG13716	ycbX	P75863	JW5126	Counterclockwise	1005714	1006823
EG13717	rlmL	P75864	JW0931	Clockwise	1007067	1009175
EG13718	ycbZ	P75867	JW0938	Counterclockwise	1015762	1017522
EG13719	ymbA	P0AB10	JW5127	Clockwise	1014119	1014682
EG13720	sxy	P75869	JW0942	Clockwise	1020361	1020990
EG13721	yccS	P75870	JW5128	Counterclockwise	1020953	1023106
EG13722	yccT	P0A8X4	JW0947	Counterclockwise	1026334	1026996
EG13723	yccU	P75874	JW5130	Clockwise	1027169	1027582
EG13724	hspQ	P0AB20	JW5970	Counterclockwise	1027627	1027944
EG13725	rlmI	P75876	JW5898	Counterclockwise	1028002	1029192
EG13726	yccX	P0AB65	JW5131	Clockwise	1029287	1029565
EG13727	etp	P0ACZ2	JW5132	Counterclockwise	1043453	1043899
EG13728	gfcE	P0A932	JW0966	Counterclockwise	1043887	1045026
EG13729	gfcD	P75882	JW0967	Counterclockwise	1045072	1047168
EG13730	gfcC	P75883	JW0968	Counterclockwise	1047168	1047914
EG13731	gfcB	P75884	JW0969	Counterclockwise	1047911	1048555
EG13732	gfcA	P75885	JW5133	Counterclockwise	1048662	1048967
EG13733	ydbL	P76076	JW5216	Clockwise	1443904	1444230
EG13735	paaZ	P77455	JW1382	Counterclockwise	1449621	1451666
EG13736	paaA	P76077	JW1383	Clockwise	1451951	1452880
EG13737	paaC	P76079	JW1385	Clockwise	1453188	1453934
EG13738	paaD	P76080	JW5217	Clockwise	1453949	1454446
EG13739	paaE	P76081	JW1387	Clockwise	1454454	1455524
EG13740	paaF	P76082	JW1388	Clockwise	1455521	1456288
EG13741	paaG	P77467	JW1389	Clockwise	1456288	1457076
EG13742	paaH	P76083	JW1390	Clockwise	1457078	1458505
EG13743	paaI	P76084	JW1391	Clockwise	1458495	1458917
EG13744	paaJ	P77525	JW1392	Clockwise	1458917	1460122
EG13745	paaK	P76085	JW5218	Clockwise	1460149	1461462
EG13746	paaX	P76086	JW1394	Clockwise	1461563	1462513
EG13747	paaY	P77181	JW1395	Clockwise	1462495	1463085
EG13748	ynbA	P76090	JW1405	Clockwise	1475645	1476250
EG13749	ynbB	P76091	JW1406	Clockwise	1476250	1477146
EG13750	ynbC	P76092	JW1407	Clockwise	1477162	1478919
EG13751	ynbD	P76093	JW1408	Clockwise	1478933	1480225
EG13752	ydcI	P77171	JW5226	Counterclockwise	1492172	1493095
EG13753	ydcJ	P76097	JW1419	Clockwise	1493312	1494655
EG13754	ydcK	P76100	JW1424	Counterclockwise	1497493	1498473
EG13755	ydcL	P64451	JW1427	Clockwise	1500481	1501149
EG13756	insQ	P76102	JW5228	Clockwise	1501741	1502889
EG13757	ydcN	P77626	JW1430	Clockwise	1504196	1504732
EG13758	ydcO	P76103	JW5229	Counterclockwise	1502929	1504104
EG13759	ydcP	P76104	JW1431	Clockwise	1504805	1506766
EG13760	hicB	P67697	JW1433	Clockwise	1507532	1507948
EG13761	ydcR	P77730	JW1434	Clockwise	1508027	1509433
EG13762	ydcS	P76108	JW1435	Clockwise	1509678	1510823
EG13763	ydcT	P77795	JW1436	Clockwise	1510841	1511854
EG13764	ydcU	P77156	JW1437	Clockwise	1511855	1512796
EG13765	ydcV	P0AFR9	JW1438	Clockwise	1512786	1513580
EG13766	prr	P77674	JW1439	Clockwise	1513602	1515026
EG13767	ydcX	P64453	JW5232	Clockwise	1515413	1515586
EG13768	ydcY	P64455	JW1441	Clockwise	1515672	1515905
EG13769	ydcZ	P76111	JW1442	Counterclockwise	1515906	1516355
EG13770	yncA	P76112	JW5233	Counterclockwise	1516352	1516870
EG13772	yncB	P76113	JW5907	Clockwise	1517051	1518088
EG13773	mcbR	P76114	JW1445	Clockwise	1518286	1518951
EG13774	yncD	P76115	JW1446	Counterclockwise	1518987	1521089
EG13775	yncE	P76116	JW1447	Clockwise	1521331	1522392
EG13776	ansP	P77610	JW5234	Counterclockwise	1522505	1524004
EG13777	yncG	P76117	JW1449	Clockwise	1524271	1524888
EG13778	yncH	P76118	JW5235	Clockwise	1524964	1525176
EG13779	yddH	P76121	JW1457	Counterclockwise	1531306	1531875
EG13780	nhoA	P77567	JW1458	Clockwise	1532048	1532893
EG13781	yddJ	P76122	JW1466	Counterclockwise	1542408	1542743
EG13784	yddM	P67699	JW5908	Counterclockwise	1550422	1550706
EG13786	ddpF	P77622	JW1478	Counterclockwise	1555136	1556062
EG13787	ddpD	P77268	JW1479	Counterclockwise	1556055	1557041
EG13788	ddpC	P77463	JW1480	Counterclockwise	1557038	1557934
EG13789	ddpB	P77308	JW1481	Counterclockwise	1557931	1558953
EG13790	ddpA	P76128	JW5240	Counterclockwise	1558955	1560505
EG13791	ddpX	P77790	JW1483	Counterclockwise	1560519	1561100
EG13792	dosP	P76129	JW1484	Counterclockwise	1561358	1563757
EG13793	dosC	P0AA89	JW5241	Counterclockwise	1563782	1565164
EG13794	yddW	P64426	JW1486	Counterclockwise	1565528	1566847
EG13795	ydeM	P76134	JW1492	Counterclockwise	1577657	1578814
EG13796	ydeN	P77318	JW5243	Counterclockwise	1578866	1580548
EG13797	ydeO	P76135	JW1494	Counterclockwise	1580950	1581711
EG13798	ydeP	P77561	JW1495	Counterclockwise	1582231	1584510
EG13799	ydeQ	P77588	JW1496	Counterclockwise	1584844	1585758
EG13800	ydeR	P77294	JW1497	Counterclockwise	1585817	1586320
EG13801	ydeS	P77789	JW1498	Counterclockwise	1586333	1586863
EG13804	lsrK	P77432	JW1504	Counterclockwise	1596641	1598233
EG13805	lsrR	P76141	JW1505	Counterclockwise	1598312	1599265
EG13806	lsrA	P77257	JW1506	Clockwise	1599514	1601049
EG13807	lsrC	P77672	JW1507	Clockwise	1601043	1602071
EG13808	lsrD	P0AFS1	JW1508	Clockwise	1602071	1603063
EG13809	lsrB	P76142	JW1509	Clockwise	1603075	1604097
EG13810	lsrF	P76143	JW1510	Clockwise	1604124	1604999
EG13811	lsrG	P64461	JW1511	Clockwise	1605023	1605313
EG13812	tam	P76145	JW1512	Clockwise	1605370	1606128
EG13813	yneE	P76146	JW5245	Counterclockwise	1606132	1607046
EG13814	yneF	P76147	JW5825	Counterclockwise	1608931	1609878
EG13815	yneG	P76148	JW1516	Counterclockwise	1609990	1610349
EG13816	yneH	P0A6W0	JW1517	Counterclockwise	1610349	1611275
EG13817	sad	P76149	JW5247	Counterclockwise	1611339	1612727
EG13818	yneJ	P77309	JW1519	Clockwise	1612828	1613709
EG13819	yneK	P76150	JW1520	Clockwise	1613787	1614902
EG13820	ydfH	P0ACM2	JW1533	Clockwise	1626376	1627062
EG13821	ydfI	P77260	JW1535	Counterclockwise	1627477	1628937
EG13823	ydfK	P76154	JW1537	Clockwise	1631063	1631329
EG13824	pinQ	P77170	JW1538	Clockwise	1631646	1632236
EG13825	tfaQ	P76155	JW1539	Counterclockwise	1632334	1632909
EG13826	stfQ	P77515	JW1540	Counterclockwise	1632909	1633871
EG13827	ydfO	P76156	JW5252	Clockwise	1635071	1635481
EG13828	rzpQ	P76158	JW1545	Counterclockwise	1637054	1637551
EG13829	arrQ	P76159	JW1546	Counterclockwise	1637548	1638081
EG13830	ydfR	P76160	JW1547	Counterclockwise	1638078	1638389
EG13831	essQ	P77237	JW5255	Counterclockwise	1638394	1638609
EG13832	quuQ	P76161	JW1551	Counterclockwise	1640513	1641265
EG13833	ydfU	P76162	JW5909	Counterclockwise	1641279	1642328
EG13834	ydfV	P76163	JW1557	Clockwise	1643921	1644226
EG13837	gnsB	P77695	JW5253	Counterclockwise	1635633	1635806
EG13838	ydfZ	P64463	JW1534	Clockwise	1627239	1627442
EG13839	ynfA	P76169	JW1574	Counterclockwise	1653371	1653697
EG13840	ynfB	P76170	JW1575	Clockwise	1653832	1654173
EG13841	ynfC	P67553	JW5258	Counterclockwise	1654771	1655481
EG13842	ynfD	P76172	JW5259	Clockwise	1655589	1655894
EG13843	ynfE	P77374	JW1579	Clockwise	1656093	1658519
EG13844	ynfF	P77783	JW5260	Clockwise	1658580	1661003
EG13845	ynfG	P0AAJ1	JW1581	Clockwise	1661014	1661631
EG13846	ynfH	P76173	JW5261	Clockwise	1661633	1662487
EG13847	dmsD	P69853	JW5262	Clockwise	1662530	1663144
EG13848	clcB	P76175	JW5263	Clockwise	1663339	1664595
EG13849	ynfK	P0A6E9	JW5264	Counterclockwise	1664548	1665243
EG13850	ynfL	P77559	JW1587	Counterclockwise	1666723	1667616
EG13851	cusR	P0ACZ8	JW0560	Counterclockwise	593983	594666
EG13853	rutG	P75892	JW5137	Counterclockwise	1067734	1069062
EG13854	rutF	P75893	JW5138	Counterclockwise	1069083	1069577
EG13855	rutE	P75894	JW0993	Counterclockwise	1069588	1070178
EG13856	rutD	P75895	JW0994	Counterclockwise	1070188	1070988
EG13857	rutC	P0AFQ5	JW0995	Counterclockwise	1070996	1071382
EG13858	rutB	P75897	JW5139	Counterclockwise	1071394	1072086
EG13859	rutA	P75898	JW0997	Counterclockwise	1072086	1073234
EG13861	efeO	P0AB24	JW1003	Clockwise	1081466	1082593
EG13862	pgaD	P69432	JW1006	Counterclockwise	1085329	1085742
EG13863	pgaC	P75905	JW1007	Counterclockwise	1085744	1087069
EG13864	pgaB	P75906	JW5142	Counterclockwise	1087062	1089080
EG13865	pgaA	P69434	JW1010	Counterclockwise	1089089	1091512
EG13866	ycdT	P75908	JW5143	Clockwise	1092099	1093457
EG13867	ycdU	P75910	JW1015	Clockwise	1095066	1096052
EG13869	ghrA	P75913	JW5146	Clockwise	1097109	1098047
EG13870	ycdX	P75914	JW1017	Clockwise	1098102	1098839
EG13871	ycdY	P75915	JW1018	Clockwise	1098863	1099417
EG13872	ycdZ	P75916	JW5147	Clockwise	1099519	1100010
EG13873	ymdA	P75917	JW1031	Clockwise	1104637	1104948
EG13874	ymdB	P0A8D6	JW1032	Clockwise	1105043	1105576
EG13875	ymdC	P75919	JW5150	Clockwise	1105578	1106999
EG13876	opgC	P75920	JW1034	Counterclockwise	1107007	1108164
EG13877	cspI	P0A986	JW1544	Counterclockwise	1636479	1636691
EG13878	mdtH	P69367	JW1052	Counterclockwise	1123341	1124549
EG13879	yceM	P75931	JW1055	Clockwise	1126029	1126952
EG13880	murJ	P0AF16	JW1056	Clockwise	1127062	1128597
EG13881	sfmA	P0ABW5	JW0519	Clockwise	557435	557977
EG13882	sfmC	P77249	JW0520	Clockwise	558197	558889
EG13883	sfmD	P77468	JW0521	Clockwise	558920	561523
EG13884	sfmH	P75715	JW5071	Clockwise	561559	562542
EG13885	iraM	P75987	JW1147	Counterclockwise	1210903	1211226
EG13886	ycgE	P75989	JW1149	Counterclockwise	1212551	1213282
EG13887	ycgF	P75990	JW1150	Counterclockwise	1213487	1214698
EG13888	ycgG	P75995	JW5174	Clockwise	1216551	1218074
EG13891	ycgJ	P76001	JW1166	Clockwise	1225823	1226191
EG13892	pliG	P76002	JW1167	Counterclockwise	1226294	1226695
EG13893	ycgL	P0AB43	JW1168	Clockwise	1226937	1227230
EG13894	ycgM	P76004	JW1169	Clockwise	1227302	1227961
EG13895	ycgN	P0A8L5	JW5180	Clockwise	1228038	1228499
EG13896	cvrA	P76007	JW5184	Counterclockwise	1239558	1241294
EG13897	emtA	P0C960	JW5821	Clockwise	1242403	1243014
EG13898	ldcA	P76008	JW1181	Counterclockwise	1241389	1242303
EG13899	ycgR	P76010	JW1183	Counterclockwise	1243016	1243750
EG13900	dhaL	P76014	JW5186	Counterclockwise	1248348	1248980
EG13901	dhaK	P76015	JW5187	Counterclockwise	1248991	1250061
EG13902	dhaR	P76016	JW5188	Clockwise	1250289	1252208
EG13903	ycgV	P76017	JW1193	Counterclockwise	1252308	1255175
EG13904	yciS	P0ACV4	JW1271	Clockwise	1338267	1338575
EG13905	yciT	P76034	JW1276	Counterclockwise	1341621	1342370
EG13906	mpaA	P0ACV6	JW1319	Counterclockwise	1387894	1388622
EG13907	puuP	P76037	JW1289	Counterclockwise	1355826	1357211
EG13908	puuA	P78061	JW5201	Counterclockwise	1357514	1358932
EG13909	puuD	P76038	JW1291	Clockwise	1359144	1359908
EG13910	ycjM	P76041	JW1302	Clockwise	1368240	1369919
EG13911	ycjN	P76042	JW1303	Clockwise	1369933	1371225
EG13912	ycjO	P0AFR7	JW1304	Clockwise	1371246	1372127
EG13913	ycjP	P77716	JW1305	Clockwise	1372114	1372956
EG13914	ycjQ	P76043	JW1306	Clockwise	1372987	1374039
EG13915	ycjR	P76044	JW5202	Clockwise	1374058	1374846
EG13916	ycjS	P77503	JW1308	Clockwise	1374856	1375911
EG13917	ycjT	P77154	JW1309	Clockwise	1375908	1378175
EG13918	ycjU	P77366	JW1310	Clockwise	1378172	1378831
EG13920	ycjW	P77615	JW1313	Counterclockwise	1380987	1381985
EG13921	ycjX	P76046	JW1314	Clockwise	1382141	1383538
EG13922	ycjY	P76049	JW5804	Counterclockwise	1388957	1389877
EG13923	ycjZ	P77333	JW1321	Clockwise	1390015	1390914
EG13924	ynaI	P0AEB5	JW1323	Counterclockwise	1392915	1393946
EG13925	ydgD	P76176	JW1590	Clockwise	1669984	1670805
EG13926	mdtI	P69210	JW1591	Counterclockwise	1670844	1671173
EG13927	mdtJ	P69212	JW1592	Counterclockwise	1671160	1671525
EG13928	tqsA	P0AFS5	JW1593	Clockwise	1671937	1672971
EG13929	ydgH	P76177	JW1596	Clockwise	1676451	1677395
EG13930	ydgI	P0AAE5	JW1597	Clockwise	1677581	1678963
EG13931	ydgJ	P77376	JW5265	Counterclockwise	1701292	1702332
EG13932	ydgK	P76180	JW1618	Clockwise	1703274	1703714
EG13933	rsxA	P0A766	JW1619	Clockwise	1703791	1704372
EG13934	rsxB	P77223	JW1620	Clockwise	1704372	1704950
EG13935	rsxC	P77611	JW1621	Clockwise	1704943	1707165
EG13936	rsxD	P76182	JW1622	Clockwise	1707166	1708224
EG13937	rsxG	P77285	JW1623	Clockwise	1708228	1708848
EG13938	rsxE	P77179	JW1624	Clockwise	1708852	1709547
EG13939	dtpA	P77304	JW1626	Clockwise	1710793	1712295
EG13940	pdxY	P77150	JW1628	Counterclockwise	1713050	1713913
EG13942	anmK	P77570	JW1632	Counterclockwise	1716517	1717626
EG13943	ydhI	P64471	JW1635	Clockwise	1719049	1719285
EG13944	ydhJ	P76185	JW1636	Clockwise	1719288	1720145
EG13945	ydhK	P76186	JW1637	Clockwise	1720145	1722157
EG13946	ydhL	P64474	JW5827	Counterclockwise	1723705	1723944
EG13947	nemR	P67430	JW5874	Clockwise	1724047	1724646
EG13948	yobD	P67601	JW1809	Clockwise	1902825	1903283
EG13949	ydhO	P76190	JW5270	Clockwise	1732459	1733274
EG13950	ydhP	P77389	JW1649	Counterclockwise	1734145	1735314
EG13951	ydhQ	P77552	JW1656	Counterclockwise	1742895	1744151
