Accession	Gene names (PREFERRED)	Gene names (ALTERNATIVE)	Gene names (OLN)	Gene names (OLN)	Entry name	EG	GN	SP	JW	Ori	LeftEnd	RightEnd
P76102	insQ	tnpB ydcM	b1432	JW5228	INSQ_ECOLI	EG13756	insQ	P76102	JW5228	Clockwise	1501741	1502889
P77626	ydcN		b1434	JW1430	YDCN_ECOLI	EG13757	ydcN	P77626	JW1430	Clockwise	1504196	1504732
P76103	ydcO		b1433	JW5229	YDCO_ECOLI	EG13758	ydcO	P76103	JW5229	Counterclockwise	1502929	1504104
P76104	ydcP		b1435	JW1431	YDCP_ECOLI	EG13759	ydcP	P76104	JW1431	Clockwise	1504805	1506766
P67697	ydcQ		b1438	JW1433	YDCQ_ECOLI	EG13760	hicB	P67697	JW1433	Clockwise	1507532	1507948
P77730	ydcR		b1439	JW1434	YDCR_ECOLI	EG13761	ydcR	P77730	JW1434	Clockwise	1508027	1509433
P76108	ydcS		b1440	JW1435	YDCS_ECOLI	EG13762	ydcS	P76108	JW1435	Clockwise	1509678	1510823
P77795	ydcT		b1441	JW1436	YDCT_ECOLI	EG13763	ydcT	P77795	JW1436	Clockwise	1510841	1511854
P77156	ydcU		b1442	JW1437	YDCU_ECOLI	EG13764	ydcU	P77156	JW1437	Clockwise	1511855	1512796
P0AFR9	ydcV		b1443	JW1438	YDCV_ECOLI	EG13765	ydcV	P0AFR9	JW1438	Clockwise	1512786	1513580
P77674	ydcW		b1444	JW1439	ABDH_ECOLI	EG13766	prr	P77674	JW1439	Clockwise	1513602	1515026
P64453	ydcX		b1445	JW5232	YDCX_ECOLI	EG13767	ydcX	P64453	JW5232	Clockwise	1515413	1515586
P64455	ydcY		b1446	JW1441	YDCY_ECOLI	EG13768	ydcY	P64455	JW1441	Clockwise	1515672	1515905
P76111	ydcZ		b1447	JW1442	YDCZ_ECOLI	EG13769	ydcZ	P76111	JW1442	Counterclockwise	1515906	1516355
P76112	yncA		b1448	JW5233	YNCA_ECOLI	EG13770	yncA	P76112	JW5233	Counterclockwise	1516352	1516870
P76113	yncB		b1449	JW5907	YNCB_ECOLI	EG13772	yncB	P76113	JW5907	Clockwise	1517051	1518088
P76114	mcbR	yncC	b1450	JW1445	MCBR_ECOLI	EG13773	mcbR	P76114	JW1445	Clockwise	1518286	1518951
P76115	yncD		b1451	JW1446	YNCD_ECOLI	EG13774	yncD	P76115	JW1446	Counterclockwise	1518987	1521089
P76116	yncE		b1452	JW1447	YNCE_ECOLI	EG13775	yncE	P76116	JW1447	Clockwise	1521331	1522392
P77610	ansP	yncF	b1453	JW5234	ANSP_ECOLI	EG13776	ansP	P77610	JW5234	Counterclockwise	1522505	1524004
P76117	yncG		b1454	JW1449	YNCG_ECOLI	EG13777	yncG	P76117	JW1449	Clockwise	1524271	1524888
P76118	yncH		b1455	JW5235	YNCH_ECOLI	EG13778	yncH	P76118	JW5235	Clockwise	1524964	1525176
P76121	yddH		b1462	JW1457	YDDH_ECOLI	EG13779	yddH	P76121	JW1457	Counterclockwise	1531306	1531875
P77567	nhoA	yddI	b1463	JW1458	NHOA_ECOLI	EG13780	nhoA	P77567	JW1458	Clockwise	1532048	1532893
P76122	yddJ		b1470	JW1466	YDDJ_ECOLI	EG13781	yddJ	P76122	JW1466	Counterclockwise	1542408	1542743
P67699	yddM		b1477	JW5908	YDDM_ECOLI	EG13784	yddM	P67699	JW5908	Counterclockwise	1550422	1550706
P77622	ddpF	yddO	b1483	JW1478	DDPF_ECOLI	EG13786	ddpF	P77622	JW1478	Counterclockwise	1555136	1556062
P77268	ddpD	yddP	b1484	JW1479	DDPD_ECOLI	EG13787	ddpD	P77268	JW1479	Counterclockwise	1556055	1557041
P77463	ddpC	yddQ	b1485	JW1480	DDPC_ECOLI	EG13788	ddpC	P77463	JW1480	Counterclockwise	1557038	1557934
P77308	ddpB	yddR	b1486	JW1481	DDPB_ECOLI	EG13789	ddpB	P77308	JW1481	Counterclockwise	1557931	1558953
P76128	ddpA	yddS	b1487	JW5240	DDPA_ECOLI	EG13790	ddpA	P76128	JW5240	Counterclockwise	1558955	1560505
P77790	ddpX	vanX yddT	b1488	JW1483	DDPX_ECOLI	EG13791	ddpX	P77790	JW1483	Counterclockwise	1560519	1561100
P76129	dosP	dos yddU	b1489	JW1484	DOSP_ECOLI	EG13792	dosP	P76129	JW1484	Counterclockwise	1561358	1563757
P0AA89	dosC	yddV	b1490	JW5241	DOSC_ECOLI	EG13793	dosC	P0AA89	JW5241	Counterclockwise	1563782	1565164
P64426	yddW		b1491	JW1486	YDDW_ECOLI	EG13794	yddW	P64426	JW1486	Counterclockwise	1565528	1566847
P76134	ydeM		b1497	JW1492	YDEM_ECOLI	EG13795	ydeM	P76134	JW1492	Counterclockwise	1577657	1578814
P77318	ydeN		b1498	JW5243	YDEN_ECOLI	EG13796	ydeN	P77318	JW5243	Counterclockwise	1578866	1580548
P76135	ydeO		b1499	JW1494	YDEO_ECOLI	EG13797	ydeO	P76135	JW1494	Counterclockwise	1580950	1581711
P77561	ydeP		b1501	JW1495	YDEP_ECOLI	EG13798	ydeP	P77561	JW1495	Counterclockwise	1582231	1584510
P77588	ydeQ		b1502	JW1496	YDEQ_ECOLI	EG13799	ydeQ	P77588	JW1496	Counterclockwise	1584844	1585758
P77294	ydeR		b1503	JW1497	YDER_ECOLI	EG13800	ydeR	P77294	JW1497	Counterclockwise	1585817	1586320
P77789	ydeS		b1504	JW1498	YDES_ECOLI	EG13801	ydeS	P77789	JW1498	Counterclockwise	1586333	1586863
P77432	lsrK	ydeV	b1511	JW1504	LSRK_ECOLI	EG13804	lsrK	P77432	JW1504	Counterclockwise	1596641	1598233
P76141	lsrR	ydeW	b1512	JW1505	LSRR_ECOLI	EG13805	lsrR	P76141	JW1505	Counterclockwise	1598312	1599265
P77257	lsrA	ego ydeX	b1513	JW1506	LSRA_ECOLI	EG13806	lsrA	P77257	JW1506	Clockwise	1599514	1601049
P77672	lsrC	ydeY	b1514	JW1507	LSRC_ECOLI	EG13807	lsrC	P77672	JW1507	Clockwise	1601043	1602071
P0AFS1	lsrD	ydeZ	b1515	JW1508	LSRD_ECOLI	EG13808	lsrD	P0AFS1	JW1508	Clockwise	1602071	1603063
P76142	lsrB	yneA	b1516	JW1509	LSRB_ECOLI	EG13809	lsrB	P76142	JW1509	Clockwise	1603075	1604097
P76143	lsrF	yneB	b1517	JW1510	LSRF_ECOLI	EG13810	lsrF	P76143	JW1510	Clockwise	1604124	1604999
P64461	lsrG	yneC	b1518	JW1511	LSRG_ECOLI	EG13811	lsrG	P64461	JW1511	Clockwise	1605023	1605313
P76145	tam	yneD	b1519	JW1512	TAM_ECOLI	EG13812	tam	P76145	JW1512	Clockwise	1605370	1606128
P76146	yneE		b1520	JW5245	YNEE_ECOLI	EG13813	yneE	P76146	JW5245	Counterclockwise	1606132	1607046
P76147	yneF		b1522	JW5825	YNEF_ECOLI	EG13814	yneF	P76147	JW5825	Counterclockwise	1608931	1609878
P76148	yneG		b1523	JW1516	YNEG_ECOLI	EG13815	yneG	P76148	JW1516	Counterclockwise	1609990	1610349
P0A6W0	glsA2	yneH	b1524	JW1517	GLSA2_ECOLI	EG13816	yneH	P0A6W0	JW1517	Counterclockwise	1610349	1611275
P76149	yneI		b1525	JW5247	YNEI_ECOLI	EG13817	sad	P76149	JW5247	Counterclockwise	1611339	1612727
P77309	yneJ		b1526	JW1519	YNEJ_ECOLI	EG13818	yneJ	P77309	JW1519	Clockwise	1612828	1613709
P76150	yneK		b1527	JW1520	YNEK_ECOLI	EG13819	yneK	P76150	JW1520	Clockwise	1613787	1614902
P0ACM2	ydfH		b1540	JW1533	YDFH_ECOLI	EG13820	ydfH	P0ACM2	JW1533	Clockwise	1626376	1627062
P77260	ydfI		b1542	JW1535	YDFI_ECOLI	EG13821	ydfI	P77260	JW1535	Counterclockwise	1627477	1628937
P76154	ydfK		b1544	JW1537	YDFK_ECOLI	EG13823	ydfK	P76154	JW1537	Clockwise	1631063	1631329
P77170	pinQ	ydfL	b1545	JW1538	PINQ_ECOLI	EG13824	pinQ	P77170	JW1538	Clockwise	1631646	1632236
P76155	tfaQ	ydfM	b1546	JW1539	TFAQ_ECOLI	EG13825	tfaQ	P76155	JW1539	Counterclockwise	1632334	1632909
P77515	stfQ	ydfN	b1547	JW1540	STFQ_ECOLI	EG13826	stfQ	P77515	JW1540	Counterclockwise	1632909	1633871
P76156	ydfO		b1549	JW5252	YDFO_ECOLI	EG13827	ydfO	P76156	JW5252	Clockwise	1635071	1635481
P76158	rzpQ	ydfP	b1553	JW1545	RZPQ_ECOLI	EG13828	rzpQ	P76158	JW1545	Counterclockwise	1637054	1637551
P76159	arrQ	ydfQ	b1554	JW1546	LYSQ_ECOLI	EG13829	arrQ	P76159	JW1546	Counterclockwise	1637548	1638081
P76160	ydfR		b1555	JW1547	YDFR_ECOLI	EG13830	ydfR	P76160	JW1547	Counterclockwise	1638078	1638389
P77237	essQ	ydfS	b1556	JW5255	ESSQ_ECOLI	EG13831	essQ	P77237	JW5255	Counterclockwise	1638394	1638609
P76161	quuQ	ydfT	b1559	JW1551	REQ2_ECOLI	EG13832	quuQ	P76161	JW1551	Counterclockwise	1640513	1641265
P76162	ydfU		b1560	JW5909	YDFU_ECOLI	EG13833	ydfU	P76162	JW5909	Counterclockwise	1641279	1642328
P76163	ydfV		b1565	JW1557	YDFV_ECOLI	EG13834	ydfV	P76163	JW1557	Clockwise	1643921	1644226
P77695	gnsB	ydfY	b1550	JW5253	GNSB_ECOLI	EG13837	gnsB	P77695	JW5253	Counterclockwise	1635633	1635806
P64463	ydfZ		b1541	JW1534	YDFZ_ECOLI	EG13838	ydfZ	P64463	JW1534	Clockwise	1627239	1627442
P76169	ynfA		b1582	JW1574	YNFA_ECOLI	EG13839	ynfA	P76169	JW1574	Counterclockwise	1653371	1653697
P76170	ynfB		b1583	JW1575	YNFB_ECOLI	EG13840	ynfB	P76170	JW1575	Clockwise	1653832	1654173
P67553	ynfC		b1585	JW5258	YNFC_ECOLI	EG13841	ynfC	P67553	JW5258	Counterclockwise	1654771	1655481
P76172	ynfD		b1586	JW5259	YNFD_ECOLI	EG13842	ynfD	P76172	JW5259	Clockwise	1655589	1655894
P77374	ynfE		b1587	JW1579	YNFE_ECOLI	EG13843	ynfE	P77374	JW1579	Clockwise	1656093	1658519
P77783	ynfF		b1588	JW5260	YNFF_ECOLI	EG13844	ynfF	P77783	JW5260	Clockwise	1658580	1661003
P0AAJ1	ynfG		b1589	JW1581	YNFG_ECOLI	EG13845	ynfG	P0AAJ1	JW1581	Clockwise	1661014	1661631
P76173	ynfH		b1590	JW5261	YNFH_ECOLI	EG13846	ynfH	P76173	JW5261	Clockwise	1661633	1662487
P69853	dmsD	ynfI	b1591	JW5262	DMSD_ECOLI	EG13847	dmsD	P69853	JW5262	Clockwise	1662530	1663144
P76175	clcB	mriT ynfJ	b1592	JW5263	CLCB_ECOLI	EG13848	clcB	P76175	JW5263	Clockwise	1663339	1664595
P0A6E9	ynfK		b1593	JW5264	BIOD2_ECOLI	EG13849	ynfK	P0A6E9	JW5264	Counterclockwise	1664548	1665243
P77559	ynfL		b1595	JW1587	YNFL_ECOLI	EG13850	ynfL	P77559	JW1587	Counterclockwise	1666723	1667616
P0ACZ8	cusR	ylcA	b0571	JW0560	CUSR_ECOLI	EG13851	cusR	P0ACZ8	JW0560	Counterclockwise	593983	594666
P75892	rutG	ycdG	b1006	JW5137	RUTG_ECOLI	EG13853	rutG	P75892	JW5137	Counterclockwise	1067734	1069062
P75893	rutF	ycdH	b1007	JW5138	RUTF_ECOLI	EG13854	rutF	P75893	JW5138	Counterclockwise	1069083	1069577
P75894	rutE	ycdI	b1008	JW0993	RUTE_ECOLI	EG13855	rutE	P75894	JW0993	Counterclockwise	1069588	1070178
P75895	rutD	ycdJ	b1009	JW0994	RUTD_ECOLI	EG13856	rutD	P75895	JW0994	Counterclockwise	1070188	1070988
P0AFQ5	rutC	ycdK	b1010	JW0995	RUTC_ECOLI	EG13857	rutC	P0AFQ5	JW0995	Counterclockwise	1070996	1071382
P75897	rutB	ycdL	b1011	JW5139	RUTB_ECOLI	EG13858	rutB	P75897	JW5139	Counterclockwise	1071394	1072086
P75898	rutA	ycdM	b1012	JW0997	RUTA_ECOLI	EG13859	rutA	P75898	JW0997	Counterclockwise	1072086	1073234
P0AB24	ycdO		b1018	JW1003	YCDO_ECOLI	EG13861	efeO	P0AB24	JW1003	Clockwise	1081466	1082593
P69432	pgaD	ycdP	b1021	JW1006	PGAD_ECOLI	EG13862	pgaD	P69432	JW1006	Counterclockwise	1085329	1085742
P75905	pgaC	ycdQ	b1022	JW1007	PGAC_ECOLI	EG13863	pgaC	P75905	JW1007	Counterclockwise	1085744	1087069
P75906	pgaB	ycdR	b1023	JW5142	PGAB_ECOLI	EG13864	pgaB	P75906	JW5142	Counterclockwise	1087062	1089080
P69434	pgaA	ycdS	b1024	JW1010	PGAA_ECOLI	EG13865	pgaA	P69434	JW1010	Counterclockwise	1089089	1091512
P75908	ycdT		b1025	JW5143	YCDT_ECOLI	EG13866	ycdT	P75908	JW5143	Clockwise	1092099	1093457
P75910	ycdU		b1029	JW1015	YCDU_ECOLI	EG13867	ycdU	P75910	JW1015	Clockwise	1095066	1096052
P75913	ghrA	ycdW	b1033	JW5146	GHRA_ECOLI	EG13869	ghrA	P75913	JW5146	Clockwise	1097109	1098047
P75914	ycdX		b1034	JW1017	YCDX_ECOLI	EG13870	ycdX	P75914	JW1017	Clockwise	1098102	1098839
P75915	ycdY		b1035	JW1018	YCDY_ECOLI	EG13871	ycdY	P75915	JW1018	Clockwise	1098863	1099417
P75916	ycdZ		b1036	JW5147	YCDZ_ECOLI	EG13872	ycdZ	P75916	JW5147	Clockwise	1099519	1100010
P75917	ymdA		b1044	JW1031	YMDA_ECOLI	EG13873	ymdA	P75917	JW1031	Clockwise	1104637	1104948
P0A8D6	ymdB		b1045	JW1032	YMDB_ECOLI	EG13874	ymdB	P0A8D6	JW1032	Clockwise	1105043	1105576
P75919	ymdC		b1046	JW5150	YMDC_ECOLI	EG13875	ymdC	P75919	JW5150	Clockwise	1105578	1106999
P75920	mdoC	opgC ymdD	b1047	JW1034	OPGC_ECOLI	EG13876	opgC	P75920	JW1034	Counterclockwise	1107007	1108164
P0A986	cspI	cspJ	b1552	JW1544	CSPI_ECOLI	EG13877	cspI	P0A986	JW1544	Counterclockwise	1636479	1636691
P69367	mdtH	yceL	b1065	JW1052	MDTH_ECOLI	EG13878	mdtH	P69367	JW1052	Counterclockwise	1123341	1124549
P75931	mviM	yceM	b1068	JW1055	MVIM_ECOLI	EG13879	yceM	P75931	JW1055	Clockwise	1126029	1126952
P0AF16	mviN	yceN	b1069	JW1056	MVIN_ECOLI	EG13880	murJ	P0AF16	JW1056	Clockwise	1127062	1128597
P0ABW5	sfmA		b0530	JW0519	SFMA_ECOLI	EG13881	sfmA	P0ABW5	JW0519	Clockwise	557435	557977
P77249	sfmC		b0531	JW0520	SFMC_ECOLI	EG13882	sfmC	P77249	JW0520	Clockwise	558197	558889
P77468	sfmD		b0532	JW0521	SFMD_ECOLI	EG13883	sfmD	P77468	JW0521	Clockwise	558920	561523
P75715	sfmH		b0533	JW5071	SFMH_ECOLI	EG13884	sfmH	P75715	JW5071	Clockwise	561559	562542
P75987	iraM	elb1 elbA ycgW	b1160	JW1147	IRAM_ECOLI	EG13885	iraM	P75987	JW1147	Counterclockwise	1210903	1211226
P75989	ycgE		b1162	JW1149	YCGE_ECOLI	EG13886	ycgE	P75989	JW1149	Counterclockwise	1212551	1213282
P75990	ycgF		b1163	JW1150	YCGF_ECOLI	EG13887	ycgF	P75990	JW1150	Counterclockwise	1213487	1214698
P75995	ycgG		b1168	JW5174	YCGG_ECOLI	EG13888	ycgG	P75995	JW5174	Clockwise	1216551	1218074
P76001	ycgJ		b1177	JW1166	YCGJ_ECOLI	EG13891	ycgJ	P76001	JW1166	Clockwise	1225823	1226191
P76002	ycgK		b1178	JW1167	YCGK_ECOLI	EG13892	pliG	P76002	JW1167	Counterclockwise	1226294	1226695
P0AB43	ycgL		b1179	JW1168	YCGL_ECOLI	EG13893	ycgL	P0AB43	JW1168	Clockwise	1226937	1227230
P76004	ycgM		b1180	JW1169	YCGM_ECOLI	EG13894	ycgM	P76004	JW1169	Clockwise	1227302	1227961
P0A8L5	ycgN		b1181	JW5180	YCGN_ECOLI	EG13895	ycgN	P0A8L5	JW5180	Clockwise	1228038	1228499
P76007	cvrA	ycgO	b1191	JW5184	CVRA_ECOLI	EG13896	cvrA	P76007	JW5184	Counterclockwise	1239558	1241294
P0C960	emtA	mltE sltZ ycgP	b1193	JW5821	EMTA_ECOLI	EG13897	emtA	P0C960	JW5821	Clockwise	1242403	1243014
P76008	ldcA	ycgQ	b1192	JW1181	LDCA_ECOLI	EG13898	ldcA	P76008	JW1181	Counterclockwise	1241389	1242303
P76010	ycgR		b1194	JW1183	YCGR_ECOLI	EG13899	ycgR	P76010	JW1183	Counterclockwise	1243016	1243750
P76014	dhaL	ycgS	b1199	JW5186	DHAL_ECOLI	EG13900	dhaL	P76014	JW5186	Counterclockwise	1248348	1248980
P76015	dhaK	ycgT	b1200	JW5187	DHAK_ECOLI	EG13901	dhaK	P76015	JW5187	Counterclockwise	1248991	1250061
P76016	dhaR	ycgU	b1201	JW5188	DHAR_ECOLI	EG13902	dhaR	P76016	JW5188	Clockwise	1250289	1252208
P76017	ycgV		b1202	JW1193	YCGV_ECOLI	EG13903	ycgV	P76017	JW1193	Counterclockwise	1252308	1255175
P0ACV4	yciS		b1279	JW1271	YCIS_ECOLI	EG13904	yciS	P0ACV4	JW1271	Clockwise	1338267	1338575
P76034	yciT		b1284	JW1276	YCIT_ECOLI	EG13905	yciT	P76034	JW1276	Counterclockwise	1341621	1342370
P0ACV6	mpaA	ycjI	b1326	JW1319	MPAA_ECOLI	EG13906	mpaA	P0ACV6	JW1319	Counterclockwise	1387894	1388622
P76037	puuP	ycjJ	b1296	JW1289	PUUP_ECOLI	EG13907	puuP	P76037	JW1289	Counterclockwise	1355826	1357211
P78061	puuA	ycjK	b1297	JW5201	PUUA_ECOLI	EG13908	puuA	P78061	JW5201	Counterclockwise	1357514	1358932
P76038	puuD	ycjL	b1298	JW1291	PUUD_ECOLI	EG13909	puuD	P76038	JW1291	Clockwise	1359144	1359908
P76041	ycjM		b1309	JW1302	SUCP_ECOLI	EG13910	ycjM	P76041	JW1302	Clockwise	1368240	1369919
P76042	ycjN		b1310	JW1303	YCJN_ECOLI	EG13911	ycjN	P76042	JW1303	Clockwise	1369933	1371225
P0AFR7	ycjO		b1311	JW1304	YCJO_ECOLI	EG13912	ycjO	P0AFR7	JW1304	Clockwise	1371246	1372127
P77716	ycjP		b1312	JW1305	YCJP_ECOLI	EG13913	ycjP	P77716	JW1305	Clockwise	1372114	1372956
P76043	ycjQ		b1313	JW1306	YCJQ_ECOLI	EG13914	ycjQ	P76043	JW1306	Clockwise	1372987	1374039
P76044	ycjR		b1314	JW5202	YCJR_ECOLI	EG13915	ycjR	P76044	JW5202	Clockwise	1374058	1374846
P77503	ycjS		b1315	JW1308	YCJS_ECOLI	EG13916	ycjS	P77503	JW1308	Clockwise	1374856	1375911
P77154	ycjT		b1316	JW1309	YCJT_ECOLI	EG13917	ycjT	P77154	JW1309	Clockwise	1375908	1378175
P77366	ycjU		b1317	JW1310	PGMB_ECOLI	EG13918	ycjU	P77366	JW1310	Clockwise	1378172	1378831
P77615	ycjW		b1320	JW1313	YCJW_ECOLI	EG13920	ycjW	P77615	JW1313	Counterclockwise	1380987	1381985
P76046	ycjX		b1321	JW1314	YCJX_ECOLI	EG13921	ycjX	P76046	JW1314	Clockwise	1382141	1383538
P76049	ycjY		b1327	JW5804	YCJY_ECOLI	EG13922	ycjY	P76049	JW5804	Counterclockwise	1388957	1389877
P77333	ycjZ		b1328	JW1321	YCJZ_ECOLI	EG13923	ycjZ	P77333	JW1321	Clockwise	1390015	1390914
P0AEB5	ynaI		b1330	JW1323	YNAI_ECOLI	EG13924	ynaI	P0AEB5	JW1323	Counterclockwise	1392915	1393946
P76176	ydgD		b1598	JW1590	YDGD_ECOLI	EG13925	ydgD	P76176	JW1590	Clockwise	1669984	1670805
P69210	mdtI	ydgE	b1599	JW1591	MDTI_ECOLI	EG13926	mdtI	P69210	JW1591	Counterclockwise	1670844	1671173
P69212	mdtJ	ydgF	b1600	JW1592	MDTJ_ECOLI	EG13927	mdtJ	P69212	JW1592	Counterclockwise	1671160	1671525
P0AFS5	tqsA	ydgG	b1601	JW1593	TQSA_ECOLI	EG13928	tqsA	P0AFS5	JW1593	Clockwise	1671937	1672971
P76177	ydgH		b1604	JW1596	YDGH_ECOLI	EG13929	ydgH	P76177	JW1596	Clockwise	1676451	1677395
P0AAE5	ydgI		b1605	JW1597	ARCD_ECOLI	EG13930	ydgI	P0AAE5	JW1597	Clockwise	1677581	1678963
P77376	ydgJ		b1624	JW5265	YDGJ_ECOLI	EG13931	ydgJ	P77376	JW5265	Counterclockwise	1701292	1702332
P76180	ydgK		b1626	JW1618	YDGK_ECOLI	EG13932	ydgK	P76180	JW1618	Clockwise	1703274	1703714
P0A766	rnfA	ydgL	b1627	JW1619	RNFA_ECOLI	EG13933	rsxA	P0A766	JW1619	Clockwise	1703791	1704372
P77223	rnfB	ydgM	b1628	JW1620	RNFB_ECOLI	EG13934	rsxB	P77223	JW1620	Clockwise	1704372	1704950
P77611	rnfC	ydgN	b1629	JW1621	RNFC_ECOLI	EG13935	rsxC	P77611	JW1621	Clockwise	1704943	1707165
P76182	rnfD	ydgO	b1630	JW1622	RNFD_ECOLI	EG13936	rsxD	P76182	JW1622	Clockwise	1707166	1708224
P77285	rnfG	ydgP	b1631	JW1623	RNFG_ECOLI	EG13937	rsxG	P77285	JW1623	Clockwise	1708228	1708848
P77179	rnfE	ydgQ	b1632	JW1624	RNFE_ECOLI	EG13938	rsxE	P77179	JW1624	Clockwise	1708852	1709547
P77304	dtpA	tppB ydgR	b1634	JW1626	DTPA_ECOLI	EG13939	dtpA	P77304	JW1626	Clockwise	1710793	1712295
P77150	pdxY	ydgS	b1636	JW1628	PDXY_ECOLI	EG13940	pdxY	P77150	JW1628	Counterclockwise	1713050	1713913
P77570	anmK	ydhH	b1640	JW1632	ANMK_ECOLI	EG13942	anmK	P77570	JW1632	Counterclockwise	1716517	1717626
P64471	ydhI		b1643	JW1635	YDHI_ECOLI	EG13943	ydhI	P64471	JW1635	Clockwise	1719049	1719285
P76185	ydhJ		b1644	JW1636	YDHJ_ECOLI	EG13944	ydhJ	P76185	JW1636	Clockwise	1719288	1720145
P76186	ydhK		b1645	JW1637	YDHK_ECOLI	EG13945	ydhK	P76186	JW1637	Clockwise	1720145	1722157
P64474	ydhL		b1648	JW5827	YDHL_ECOLI	EG13946	ydhL	P64474	JW5827	Counterclockwise	1723705	1723944
P67430	nemR	ydhM	b1649	JW5874	NEMR_ECOLI	EG13947	nemR	P67430	JW5874	Clockwise	1724047	1724646
P67601	yobD		b1820	JW1809	YOBD_ECOLI	EG13948	yobD	P67601	JW1809	Clockwise	1902825	1903283
P76190	ydhO		b1655	JW5270	YDHO_ECOLI	EG13949	ydhO	P76190	JW5270	Clockwise	1732459	1733274
P77389	ydhP		b1657	JW1649	YDHP_ECOLI	EG13950	ydhP	P77389	JW1649	Counterclockwise	1734145	1735314
P77552	ydhQ		b1664	JW1656	YDHQ_ECOLI	EG13951	ydhQ	P77552	JW1656	Counterclockwise	1742895	1744151
P0ACX3	ydhR		b1667	JW1657	YDHR_ECOLI	EG13952	ydhR	P0ACX3	JW1657	Clockwise	1744724	1745029
P77148	ydhS		b1668	JW1658	YDHS_ECOLI	EG13953	ydhS	P77148	JW1658	Clockwise	1745155	1746759
P77147	ydhT		b1669	JW1659	YDHT_ECOLI	EG13954	ydhT	P77147	JW1659	Counterclockwise	1746771	1747583
P77409	ydhU		b1670	JW1660	PHSC_ECOLI	EG13955	ydhU	P77409	JW1660	Counterclockwise	1747587	1748372
P76192	ydhV		b1673	JW5272	YDHV_ECOLI	EG13956	ydhV	P76192	JW5272	Counterclockwise	1749752	1751854
P77564	ydhW		b1672	JW1662	YDHW_ECOLI	EG13957	ydhW	P77564	JW1662	Counterclockwise	1749101	1749748
P77375	ydhX		b1671	JW5271	YDHX_ECOLI	EG13958	ydhX	P77375	JW5271	Counterclockwise	1748369	1749037
P0AAL6	ydhY		b1674	JW1664	YDHY_ECOLI	EG13959	ydhY	P0AAL6	JW1664	Counterclockwise	1751875	1752501
P0ACX5	ydhZ		b1675	JW1665	YDHZ_ECOLI	EG13960	ydhZ	P0ACX5	JW1665	Counterclockwise	1752956	1753165
P76194	sufE	ynhA	b1679	JW1669	SUFE_ECOLI	EG13961	sufE	P76194	JW1669	Counterclockwise	1756898	1757314
P77444	sufS	csdB ynhB	b1680	JW1670	SUFS_ECOLI	EG13962	sufS	P77444	JW1670	Counterclockwise	1757327	1758547
P77689	sufD	ynhC	b1681	JW1671	SUFD_ECOLI	EG13963	sufD	P77689	JW1671	Counterclockwise	1758544	1759815
P77499	sufC	ynhD	b1682	JW1672	SUFC_ECOLI	EG13964	sufC	P77499	JW1672	Counterclockwise	1759790	1760536
P77522	sufB	ynhE	b1683	JW5273	SUFB_ECOLI	EG13965	sufB	P77522	JW5273	Counterclockwise	1760546	1762033
P64476	ydiH		b1685	JW1675	YDIH_ECOLI	EG13967	ydiH	P64476	JW1675	Counterclockwise	1762958	1763146
P77781	ydiI		b1686	JW1676	YDII_ECOLI	EG13968	ydiI	P77781	JW1676	Counterclockwise	1763246	1763656
P77748	ydiJ		b1687	JW1677	YDIJ_ECOLI	EG13969	ydiJ	P77748	JW1677	Counterclockwise	1763653	1766709
P0AFS7	ydiK		b1688	JW1678	YDIK_ECOLI	EG13970	ydiK	P0AFS7	JW1678	Clockwise	1767098	1768210
P76196	ydiL		b1689	JW1679	YDIL_ECOLI	EG13971	ydiL	P76196	JW1679	Clockwise	1768639	1768995
P76197	ydiM		b1690	JW1680	YDIM_ECOLI	EG13972	ydiM	P76197	JW1680	Clockwise	1769095	1770309
P76198	ydiN		b1691	JW5274	YDIN_ECOLI	EG13973	ydiN	P76198	JW5274	Clockwise	1770536	1771801
P0A9U8	ydiO		b1695	JW5275	YDIO_ECOLI	EG13974	ydiO	P0A9U8	JW5275	Clockwise	1775220	1776371
P77402	ydiP		b1696	JW1686	YDIP_ECOLI	EG13975	ydiP	P77402	JW1686	Counterclockwise	1776414	1777325
P76201	ydiQ		b1697	JW5276	YDIQ_ECOLI	EG13976	ydiQ	P76201	JW5276	Clockwise	1777641	1778405
P77378	ydiR		b1698	JW1688	YDIR_ECOLI	EG13977	ydiR	P77378	JW1688	Clockwise	1778425	1779363
P77337	ydiS		b1699	JW1689	YDIS_ECOLI	EG13978	ydiS	P77337	JW1689	Clockwise	1779419	1780708
P77714	ydiT		b1700	JW1690	YDIT_ECOLI	EG13979	ydiT	P77714	JW1690	Clockwise	1780705	1780998
P77649	ydiU		b1706	JW1696	YDIU_ECOLI	EG13980	ydiU	P77649	JW1696	Counterclockwise	1787832	1789268
P76204	ydiV		b1707	JW1697	YDIV_ECOLI	EG13981	ydiV	P76204	JW1697	Counterclockwise	1789331	1790044
P76206	ydiY		b1722	JW1711	YDIY_ECOLI	EG13984	ydiY	P76206	JW1711	Counterclockwise	1803349	1804107
P64479	ydiZ		b1724	JW1713	YDIZ_ECOLI	EG13985	ydiZ	P64479	JW1713	Clockwise	1805424	1805714
P77739	yniA		b1725	JW1714	YNIA_ECOLI	EG13986	yniA	P77739	JW1714	Clockwise	1805820	1806680
