AAEA_ECOLI	P46482	C6EGL9_ECOBD
YFGM_ECOLI	P76576	C6EKJ6_ECOBD
YFHB_ECOLI	P0AD42	C6EK28_ECOBD
YFHG_ECOLI	P0AD44	C6EKF2_ECOBD
YFHH_ECOLI	P37767	C6EK27_ECOBD
YFHK_ECOLI	P52101	C6EKF1_ECOBD
YFHM_ECOLI	P76578	C6EKI9_ECOBD
YFHR_ECOLI	P77538	C6EKH3_ECOBD
YFIB_ECOLI	P07021	C6EJY7_ECOBD
YFIE_ECOLI	P33634	C6EK09_ECOBD
YFIL_ECOLI	P11289	C6EJZ0_ECOBD
YFIM_ECOLI	P46126	C6EK00_ECOBD
YFIN_ECOLI	P46139	C6EJY8_ECOBD
YFIO_ECOLI	P0AC02	C6EJZ5_ECOBD
YFIR_ECOLI	P64548	C6EJY9_ECOBD
YFJD_ECOLI	P37908	C6EJY0_ECOBD
YFJP_ECOLI	P52131	Null
YFJS_ECOLI	O52982	Null
YFJT_ECOLI	P52135	Null
YFJV_ECOLI	P52137	C6EEI2_ECOBD
YFJW_ECOLI	P52138	Null
YGAF_ECOLI	P37339	C6EJW5_ECOBD
YGAH_ECOLI	P43667	C6EJU3_ECOBD
YGAM_ECOLI	P0ADQ7	C6EJV3_ECOBD
YGAP_ECOLI	P55734	C6EJV7_ECOBD
YGAW_ECOLI	P64550	C6EJV5_ECOBD
YGAY_ECOLI	P76628	C6EJU5_ECOBD
YGAZ_ECOLI	P76630	C6EJU4_ECOBD
YGBE_ECOLI	P46141	C6EJB8_ECOBD
YGBJ_ECOLI	Q46888	C6EJD1_ECOBD
YGBN_ECOLI	Q46892	C6EJC7_ECOBD
YGCG_ECOLI	P55140	C6EJ94_ECOBD
YGCL_ECOLI	Q46901	Null
YGCS_ECOLI	Q46909	C6EJA1_ECOBD
YGDB_ECOLI	P08370	C6EJ45_ECOBD
YGDD_ECOLI	P0ADR2	C6EJ59_ECOBD
YGDI_ECOLI	P65292	C6EJ57_ECOBD
YGDL_ECOLI	Q46927	C6EJ54_ECOBD
YGDQ_ECOLI	P67127	C6EJ36_ECOBD
YGDR_ECOLI	P65294	C6EJ35_ECOBD
YGEH_ECOLI	P76639	Null
YGEQ_ECOLI	Q46797	C6EIP4_ECOBD
YGER_ECOLI	Q46798	C6EIP3_ECOBD
YGFO_ECOLI	P67444	Null
YGFQ_ECOLI	Q46817	C6EIM4_ECOBD
YGFU_ECOLI	Q46821	C6EIM1_ECOBD
YGFX_ECOLI	Q46824	C6EIL2_ECOBD
YGGE_ECOLI	P0ADS6	C6EII7_ECOBD
YGGG_ECOLI	P25894	C6EIH3_ECOBD
YGGM_ECOLI	P46142	C6EIF5_ECOBD
YGGN_ECOLI	P0ADS9	C6EIF3_ECOBD
YGGP_ECOLI	P52048	C6EIH8_ECOBD
YGGT_ECOLI	P64564	C6EIF9_ECOBD
YGHB_ECOLI	P0AA60	C6EHY5_ECOBD
YGHD_ECOLI	Q46832	C6EIE2_ECOBD
YGHE_ECOLI	Q46833	C6EIE1_ECOBD
YGHF_ECOLI	Q46834	C6EIE0_ECOBD
YGHG_ECOLI	Q46835	C6EID9_ECOBD
YGHQ_ECOLI	Q46841	C6EI09_ECOBD
YGHR_ECOLI	P64572	C6EI08_ECOBD
YGHS_ECOLI	Q46843	C6EI07_ECOBD
YGHT_ECOLI	Q46844	C6EI06_ECOBD
YGHU_ECOLI	Q46845	C6EI03_ECOBD
YGIL_ECOLI	P39834	C6EHV0_ECOBD
YGIM_ECOLI	P0ADT8	C6EHU0_ECOBD
YGIS_ECOLI	Q46863	C6EHX3_ECOBD
YGIW_ECOLI	P0ADU5	C6EHW9_ECOBD
YGIZ_ECOLI	Q46867	C6EHW6_ECOBD
YGJI_ECOLI	P42590	C6EHR8_ECOBD
YGJJ_ECOLI	P42591	C6EHR7_ECOBD
YGJK_ECOLI	P42592	C6EHR6_ECOBD
YGJQ_ECOLI	P42598	C6EHR0_ECOBD
YGJV_ECOLI	P42603	C6EHQ4_ECOBD
YHAH_ECOLI	P64590	C6EHN9_ECOBD
YHAI_ECOLI	P64592	C6EHN8_ECOBD
YHAM_ECOLI	P42626	C6EHB4_ECOBD
YHAO_ECOLI	P42628	C6EHB3_ECOBD
YHBE_ECOLI	P0AA73	C6EH43_ECOBD
YHBX_ECOLI	P42640	C6EH53_ECOBD
YHCA_ECOLI	P28722	Null
YHCB_ECOLI	P0ADW3	C6EGZ9_ECOBD
YHCD_ECOLI	P45420	Null
YHCE_ECOLI	P45421	Null
YHCF_ECOLI	P45422	Null
YHCN_ECOLI	P64614	C6EGM2_ECOBD
YHDA_ECOLI	P13518	Null
YHDP_ECOLI	P46474	C6EGL5_ECOBD
YHDT_ECOLI	P45566	C6EGK3_ECOBD
YHDU_ECOLI	P64619	C6EGJ7_ECOBD
YHDV_ECOLI	P64622	C6EGJ3_ECOBD
YHDW_ECOLI	P45766	C6EGJ1_ECOBD
YHDX_ECOLI	P45767	C6EGJ0_ECOBD
YHDY_ECOLI	P45768	C6EGI9_ECOBD
YHDZ_ECOLI	P45769	C6EGI8_ECOBD
YHES_ECOLI	P63389	C6EGB1_ECOBD
YHFK_ECOLI	P45537	C6EGA5_ECOBD
YHFL_ECOLI	P64627	C6EFK7_ECOBD
YHFS_ECOLI	P45545	Null
YHFT_ECOLI	P45546	C6EFJ9_ECOBD
YHFU_ECOLI	P64631	C6EFJ8_ECOBD
YHGE_ECOLI	P45804	C6EFH3_ECOBD
YHGN_ECOLI	P67143	C6EFE0_ECOBD
YHHA_ECOLI	P0ADX7	C6EFC6_ECOBD
YHHH_ECOLI	P28911	C6EF91_ECOBD
YHHI_ECOLI	P28912	C6EEK0_ECOBD
YHHJ_ECOLI	P0AGH1	C6EEJ9_ECOBD
YHHL_ECOLI	P37614	C6EFA8_ECOBD
YHHM_ECOLI	P37615	C6EFA7_ECOBD
YHHN_ECOLI	P0ADI9	C6EFA6_ECOBD
YHHQ_ECOLI	P37619	C6EFA3_ECOBD
YHHS_ECOLI	P37621	C6EFA1_ECOBD
YHHT_ECOLI	P0AGM0	C6EFA0_ECOBD
YHID_ECOLI	P0AFV2	C6EEH7_ECOBD
YHIH_ECOLI	P37624	C6EEJ8_ECOBD
YHII_ECOLI	P37626	C6EEJ7_ECOBD
YHIM_ECOLI	P37630	C6EEJ4_ECOBD
YHIN_ECOLI	P37631	C6EEJ3_ECOBD
YHIP_ECOLI	P36837	Null
YHJA_ECOLI	P37197	C6EEG5_ECOBD
YHJC_ECOLI	P37641	C6EEG2_ECOBD
YHJD_ECOLI	P37642	C6EEG1_ECOBD
YHJE_ECOLI	P37643	C6EEG0_ECOBD
YHJG_ECOLI	P37645	C6EEF9_ECOBD
YHJJ_ECOLI	P37648	C6EEF6_ECOBD
YHJK_ECOLI	P37649	C6EEF4_ECOBD
YHJS_ECOLI	P37657	C6EEE7_ECOBD
YHJT_ECOLI	P0ADJ5	C6EEE6_ECOBD
YHJU_ECOLI	P37659	C6EEE5_ECOBD
YHJV_ECOLI	P37660	C6EEE1_ECOBD
YHJX_ECOLI	P37662	C6EED4_ECOBD
YHJY_ECOLI	P37663	C6EED3_ECOBD
YIAA_ECOLI	P0ADJ8	C6EEB6_ECOBD
YIAB_ECOLI	P11286	C6EEB5_ECOBD
YIAD_ECOLI	P37665	C6EEC9_ECOBD
YIAF_ECOLI	P0ADK0	C6EEC7_ECOBD
YIAH_ECOLI	P37669	C6EEB7_ECOBD
YIAM_ECOLI	P37674	C6EEA2_ECOBD
YIAN_ECOLI	P37675	C6EEA1_ECOBD
YIAO_ECOLI	P37676	C6EEA0_ECOBD
YIAT_ECOLI	P37681	C6EE92_ECOBD
YIAU_ECOLI	P37682	C6EE91_ECOBD
YIAV_ECOLI	P37683	C6EE90_ECOBD
YIAW_ECOLI	P0ADK4	C6EE89_ECOBD
YIBF_ECOLI	P0ACA1	C6EE83_ECOBD
YIBG_ECOLI	P32106	C6EDJ7_ECOBD
YIBH_ECOLI	P0AFV0	C6EDJ5_ECOBD
YIBI_ECOLI	P32108	C6EDJ4_ECOBD
YIBN_ECOLI	P0AG27	C6EDH8_ECOBD
YIBP_ECOLI	P37690	C6EDH6_ECOBD
YIBQ_ECOLI	P37691	C6EDH5_ECOBD
YICE_ECOLI	P0AGM9	Null
YICG_ECOLI	P0AGM2	C6EDE4_ECOBD
YICH_ECOLI	P31433	C6EDD4_ECOBD
YICJ_ECOLI	P31435	C6EDD2_ECOBD
YICL_ECOLI	P31437	C6EDB1_ECOBD
YICN_ECOLI	P0ADL3	C6EDA6_ECOBD
YICO_ECOLI	P31440	C6EDA5_ECOBD
YICS_ECOLI	Q2M7X4	C6EDA8_ECOBD
YIDE_ECOLI	P60872	C6ED85_ECOBD
YIDG_ECOLI	P0ADL6	C6ED93_ECOBD
YIDH_ECOLI	P0ADM0	C6ED92_ECOBD
YIDI_ECOLI	P31446	C6ED91_ECOBD
YIDK_ECOLI	P31448	C6ED89_ECOBD
YIDQ_ECOLI	P0ADM4	C6ED82_ECOBD
YIDX_ECOLI	P0ADM6	C6ED74_ECOBD
YIEE_ECOLI	P0ADM8	C6EG91_ECOBD
YIEG_ECOLI	P31466	Null
YIEL_ECOLI	P31471	C6EG84_ECOBD
YIFK_ECOLI	P27837	C6EG16_ECOBD
YIFL_ECOLI	P0ADN6	C6EG06_ECOBD
YIGE_ECOLI	P27840	C6EFZ9_ECOBD
YIGF_ECOLI	P27842	C6EFZ4_ECOBD
YIGG_ECOLI	P27843	Null
YIGI_ECOLI	P0ADP2	C6EFZ2_ECOBD
YIGM_ECOLI	P0ADP5	C6EF84_ECOBD
YIHF_ECOLI	P32128	C6EF41_ECOBD
YIHG_ECOLI	P32129	C6EF40_ECOBD
YIHN_ECOLI	P32135	C6EF27_ECOBD
YIHO_ECOLI	P32136	C6EF25_ECOBD
YIHP_ECOLI	P32137	C6EF24_ECOBD
YIHY_ECOLI	P0A8K8	C6EF15_ECOBD
YIID_ECOLI	P0ADQ2	C6EF13_ECOBD
YIIG_ECOLI	P32151	C6EF03_ECOBD
YIIQ_ECOLI	P32160	C6EEX8_ECOBD
YIIR_ECOLI	P0AF34	C6EEX7_ECOBD
YIIX_ECOLI	P32167	C6EE71_ECOBD
YIJD_ECOLI	P0AF40	C6EE45_ECOBD
YIJE_ECOLI	P0ABT8	C6EE65_ECOBD
YIJF_ECOLI	P32668	C6EE64_ECOBD
YJAH_ECOLI	P32681	C6EE17_ECOBD
YJBB_ECOLI	P0AF43	C6EE04_ECOBD
YJBE_ECOLI	P0AF45	C6EDZ8_ECOBD
YJBF_ECOLI	P32687	C6EDZ7_ECOBD
YJBG_ECOLI	P32688	C6EDZ6_ECOBD
YJBH_ECOLI	P32689	C6EDZ5_ECOBD
YJBT_ECOLI	A5A628	C6EDZ4_ECOBD
YJCB_ECOLI	P32700	C6ED64_ECOBD
YJCC_ECOLI	P32701	C6ED63_ECOBD
YJCD_ECOLI	P0AF52	C6ED60_ECOBD
YJCE_ECOLI	P32703	C6ED59_ECOBD
YJCH_ECOLI	P0AF54	C6ED57_ECOBD
YJCO_ECOLI	P0AF56	C6ED47_ECOBD
YJCS_ECOLI	P32717	C6ED40_ECOBD
YJDF_ECOLI	P39270	C6ED03_ECOBD
YJDL_ECOLI	P39276	C6ECZ4_ECOBD
YJDO_ECOLI	P64646	C6ECZ6_ECOBD
YJDP_ECOLI	Q6BEX5	C6ED32_ECOBD
YJEH_ECOLI	P39277	C6ECY4_ECOBD
YJEI_ECOLI	P0AF70	C6ECY1_ECOBD
YJEM_ECOLI	P39282	C6ECW7_ECOBD
YJEO_ECOLI	P39284	Null
YJEP_ECOLI	P39285	C6ECW6_ECOBD
YJET_ECOLI	P0AF73	C6ECH3_ECOBD
YJFF_ECOLI	P37772	C6ECB8_ECOBD
YJFL_ECOLI	P0AF80	C6ECG5_ECOBD
YJFM_ECOLI	P39295	C6ECG4_ECOBD
YJFN_ECOLI	P0AF82	C6ECG1_ECOBD
YJFO_ECOLI	P39297	Null
YJFY_ECOLI	P0AF86	C6ECF0_ECOBD
YJGB_ECOLI	P27250	C6EC82_ECOBD
YJGN_ECOLI	P39338	C6EC94_ECOBD
YJGR_ECOLI	P39342	C6EC88_ECOBD
YJGX_ECOLI	P39349	Null
YJHB_ECOLI	P39352	C6EC79_ECOBD
YJHE_ECOLI	P39355	Null
YJHF_ECOLI	P39357	Null
YJIE_ECOLI	P39376	C6EBQ2_ECOBD
YJIG_ECOLI	P0AEH8	C6EBQ0_ECOBD
YJIH_ECOLI	P39379	C6EBP9_ECOBD
YJIJ_ECOLI	P39381	C6EBP7_ECOBD
YJIK_ECOLI	P39382	C6EBP6_ECOBD
YJIN_ECOLI	P39385	C6EBP2_ECOBD
YJIV_ECOLI	P39393	Null
YJIY_ECOLI	P39396	C6EBM6_ECOBD
YJJA_ECOLI	P18390	C6EBL0_ECOBD
YJJB_ECOLI	P0ADD2	C6EBK7_ECOBD
YJJK_ECOLI	P0A9W3	C6EBI0_ECOBD
YJJL_ECOLI	P39398	C6EBL3_ECOBD
YJJN_ECOLI	P39400	C6EBL2_ECOBD
YJJP_ECOLI	P0ADD5	C6EBK6_ECOBD
YJJZ_ECOLI	P55914	C6EBK2_ECOBD
YKFB_ECOLI	P77162	Null
YKFM_ECOLI	A5A605	Null
YKGB_ECOLI	P75685	C6ELS9_ECOBD
YKGD_ECOLI	P77379	C6ELS6_ECOBD
YKGH_ECOLI	P77180	C6ELS1_ECOBD
YKGI_ECOLI	P75687	C6ELS8_ECOBD
YKGJ_ECOLI	P0AAL9	C6EA35_ECOBD
YKGR_ECOLI	C1P5Z8	C6ELT2_ECOBD
YLAB_ECOLI	P77473	C6EL07_ECOBD
YLAC_ECOLI	P0AAS0	C6EL06_ECOBD
YLIE_ECOLI	P75800	Null
YLIF_ECOLI	P75801	C6EIU9_ECOBD
YLII_ECOLI	P75804	C6EIU6_ECOBD
YLIL_ECOLI	P75786	Null
YMBA_ECOLI	P0AB10	C6EI30_ECOBD
YMDA_ECOLI	P75917	C6EHG8_ECOBD
YMFA_ECOLI	P75962	C6EGW9_ECOBD
YMFE_ECOLI	P75968	Null
YMFR_ECOLI	P75979	Null
YMGD_ECOLI	P0AB46	C6EGU4_ECOBD
YMGE_ECOLI	P76011	C6EC36_ECOBD
YMGF_ECOLI	P58034	C6EGU5_ECOBD
YMGG_ECOLI	Q7DFV3	C6EGU3_ECOBD
YMGJ_ECOLI	A5A612	Null
YMIB_ECOLI	C1P5Z9	C6EFU7_ECOBD
YMJD_ECOLI	P0CD93	Null
YNAI_ECOLI	P0AEB5	C6EFQ1_ECOBD
YNAJ_ECOLI	P64445	C6EFQ0_ECOBD
YNBA_ECOLI	P76090	C6EEV5_ECOBD
YNBB_ECOLI	P76091	C6EEV4_ECOBD
YNBD_ECOLI	P76093	C6EEV2_ECOBD
YNBE_ECOLI	P64448	C6EEW2_ECOBD
YNCD_ECOLI	P76115	C6EER2_ECOBD
YNCE_ECOLI	P76116	C6EER1_ECOBD
YNCH_ECOLI	P76118	C6EEQ7_ECOBD
YNCI_ECOLI	P76119	Null
YNCJ_ECOLI	P64459	C6EES7_ECOBD
YNCL_ECOLI	A5A615	Null
YNEE_ECOLI	P76146	C6EEK3_ECOBD
YNEF_ECOLI	P76147	C6EDW7_ECOBD
YNEJ_ECOLI	P77309	C6EDW3_ECOBD
YNEM_ECOLI	A5A616	C6EDV2_ECOBD
YNEN_ECOLI	P76136	C6EEL7_ECOBD
YNFA_ECOLI	P76169	C6EDR6_ECOBD
YNFB_ECOLI	P76170	C6EDR5_ECOBD
YNFC_ECOLI	P67553	C6EDR3_ECOBD
YNFD_ECOLI	P76172	C6EDR2_ECOBD
YNFE_ECOLI	P77374	C6EDR1_ECOBD
YNFF_ECOLI	P77783	C6EDR0_ECOBD
YNFG_ECOLI	P0AAJ1	C6EDQ9_ECOBD
YNFH_ECOLI	P76173	C6EDQ8_ECOBD
YNFM_ECOLI	P43531	C6EDQ2_ECOBD
YNHF_ECOLI	A5A618	Null
YNHG_ECOLI	P76193	C6ECS7_ECOBD
YNIB_ECOLI	P76208	C6ECN2_ECOBD
YNID_ECOLI	Q2EES1	C6ECN7_ECOBD
YNJA_ECOLI	P76222	C6ECK4_ECOBD
YNJB_ECOLI	P76223	C6ECK3_ECOBD
YNJC_ECOLI	P76224	C6ECK2_ECOBD
YNJD_ECOLI	P76909	C6ECK1_ECOBD
YNJE_ECOLI	P78067	C6ECK0_ECOBD
YNJF_ECOLI	P76226	C6ECJ9_ECOBD
YNJH_ECOLI	P76227	C6ECJ7_ECOBD
YNJI_ECOLI	P76228	C6ECJ5_ECOBD
YOAD_ECOLI	P76261	Null
YOAE_ECOLI	P0AEC0	C6EC15_ECOBD
YOAF_ECOLI	P64493	C6EC38_ECOBD
YOAI_ECOLI	P76239	Null
YOAJ_ECOLI	C1P603	Null
YOAK_ECOLI	C1P602	Null
YOBA_ECOLI	P0AA57	C6EBY8_ECOBD
YOBD_ECOLI	P67601	C6EC10_ECOBD
YOBH_ECOLI	Q2MB16	C6EC03_ECOBD
YODA_ECOLI	P76344	C6EB93_ECOBD
YOEA_ECOLI	P76356	C6EB78_ECOBD
YOHC_ECOLI	P0AD17	C6EAH6_ECOBD
YOHD_ECOLI	P33366	C6EAH5_ECOBD
YOHJ_ECOLI	P60632	C6EAH1_ECOBD
YOHK_ECOLI	P0AD19	C6EAH0_ECOBD
YOHN_ECOLI	P64534	Null
YOHO_ECOLI	Q2EES6	C6EAI4_ECOBD
YOHP_ECOLI	C1P609	Null
YOJI_ECOLI	P33941	C6E9Y8_ECOBD
YOJN_ECOLI	P39838	Null
YOJO_ECOLI	A5A619	C6E9Z1_ECOBD
YPDA_ECOLI	P0AA93	C6EL88_ECOBD
YPDI_ECOLI	O32528	C6EL92_ECOBD
YPDK_ECOLI	C1P610	Null
YPEC_ECOLI	P64542	C6EBG4_ECOBD
YPFG_ECOLI	P76559	C6EKP6_ECOBD
YPFI_ECOLI	P76562	C6EKN7_ECOBD
YPFJ_ECOLI	P64429	C6EKN6_ECOBD
YPFN_ECOLI	Q2EET2	C6EKN9_ECOBD
YPHA_ECOLI	P0AD47	C6EKG4_ECOBD
YPHC_ECOLI	P77360	C6EKG2_ECOBD
YPHD_ECOLI	P77315	C6EKG1_ECOBD
YPHE_ECOLI	P77509	C6EKG0_ECOBD
YPHF_ECOLI	P77269	C6EKF9_ECOBD
YPHH_ECOLI	P76586	C6EKF7_ECOBD
YPJA_ECOLI	P52143	Null
YPJD_ECOLI	P64432	C6EJY1_ECOBD
YPJK_ECOLI	P52134	Null
YQAA_ECOLI	P0ADR0	C6EJT7_ECOBD
YQAE_ECOLI	P0AE42	C6EJV9_ECOBD
YQCE_ECOLI	P77031	C6EJ98_ECOBD
YQEB_ECOLI	Q46808	C6EIN3_ECOBD
YQEG_ECOLI	P63340	C6EIP8_ECOBD
YQEI_ECOLI	Q46942	Null
YQEJ_ECOLI	Q46943	Null
YQFA_ECOLI	P67153	C6EIK9_ECOBD
YQFG_ECOLI	C1P614	C6EIM0_ECOBD
YQGA_ECOLI	Q46831	C6EIE3_ECOBD
YQGD_ECOLI	P46879	C6EIH0_ECOBD
YQHA_ECOLI	P67244	C6EHZ0_ECOBD
YQHG_ECOLI	Q46858	C6EHY0_ECOBD
YQHH_ECOLI	P65298	C6EHX9_ECOBD
YQIG_ECOLI	P76655	C6EHU9_ECOBD
YQIH_ECOLI	P77616	C6EHU8_ECOBD
YQII_ECOLI	P76656	C6EHU7_ECOBD
YQIJ_ECOLI	P76657	C6EHU5_ECOBD
YQIK_ECOLI	P77306	C6EHU4_ECOBD
YQJA_ECOLI	P0AA63	C6EHP8_ECOBD
YQJB_ECOLI	P42615	C6EHP7_ECOBD
YQJC_ECOLI	P42616	C6EHP6_ECOBD
YQJD_ECOLI	P64581	C6EHP5_ECOBD
YQJE_ECOLI	P64585	C6EHP4_ECOBD
YQJF_ECOLI	P42619	C6EHP2_ECOBD
YQJK_ECOLI	Q47710	C6EHP3_ECOBD
YRAH_ECOLI	P42913	C6EH83_ECOBD
YRAI_ECOLI	P42914	C6EH82_ECOBD
YRAJ_ECOLI	P42915	C6EH81_ECOBD
YRAK_ECOLI	P43319	C6EH80_ECOBD
YRAM_ECOLI	P45464	C6EH78_ECOBD
YRAP_ECOLI	P64596	C6EH75_ECOBD
YRAQ_ECOLI	P45468	C6EH74_ECOBD
YRBC_ECOLI	P0ADV7	Null
YRBD_ECOLI	P64604	Null
YRBE_ECOLI	P64606	Null
YRBG_ECOLI	P45394	C6EH31_ECOBD
YRFA_ECOLI	P45750	C6EFI4_ECOBD
YRFB_ECOLI	P45751	C6EFI3_ECOBD
YRFC_ECOLI	P64634	C6EFI2_ECOBD
YRFD_ECOLI	P45753	C6EFI1_ECOBD
YSAB_ECOLI	Q2M7M3	C6EEB8_ECOBD
YTCA_ECOLI	A5A630	C6ED41_ECOBD
YTFB_ECOLI	P39310	C6ECD8_ECOBD
YTFF_ECOLI	P39314	C6ECD4_ECOBD
YTFH_ECOLI	P0ACN2	C6ECD2_ECOBD
YTFJ_ECOLI	P39187	C6ECC9_ECOBD
YTFL_ECOLI	P0AE45	C6ECC7_ECOBD
YTFM_ECOLI	P0ADE4	C6ECC5_ECOBD
YTFN_ECOLI	P39321	C6ECC4_ECOBD
YTFQ_ECOLI	P39325	C6ECC1_ECOBD
YTFR_ECOLI	Q6BEX0	C6ECC0_ECOBD
YTFT_ECOLI	P39328	C6ECB9_ECOBD
YTJA_ECOLI	Q2M5U1	C6EBJ5_ECOBD
YUAC_ECOLI	Q9JMT7	Null
YUAD_ECOLI	Q9JMT6	Null
YUAE_ECOLI	Q9JMT5	Null
YUAF_ECOLI	Q9JMT4	Null
YUAM_ECOLI	Q9JMS7	Null
YUAO_ECOLI	Q9JMS5	Null
YUAP_ECOLI	Q9JMS4	Null
YUAQ_ECOLI	Q9JMS3	C6EDC0_ECOBD
YUAR_ECOLI	P34211	Null
YUAS_ECOLI	Q9JMS2	Null
YUAZ_ECOLI	P08868	Null
YUBI_ECOLI	Q9S4W7	Null
YUBK_ECOLI	Q9JMR4	Null
YZGL_ECOLI	P76692	C6EFE7_ECOBD
ZAPB_ECOLI	P0AF36	C6EEX0_ECOBD
ZIPA_ECOLI	P77173	C6EL66_ECOBD
ZITB_ECOLI	P75757	C6EJJ2_ECOBD
ZNTB_ECOLI	P64423	C6EFP1_ECOBD
ZNUA_ECOLI	P39172	C6EBX0_ECOBD
ZNUB_ECOLI	P39832	C6EBW8_ECOBD
ZNUC_ECOLI	P0A9X1	C6EBW9_ECOBD
ZRAP_ECOLI	P0AAA9	C6EE16_ECOBD
ZRAS_ECOLI	P14377	C6EE15_ECOBD
ZUPT_ECOLI	P0A8H3	C6EHV4_ECOBD
BETT_ECOLI	C6EC73	C6EC73_ECOBD
BLC_ECOLI	C6EDT4	C6EDT4_ECOBD
BORD_ECOLI	C6EKD4	C6EKD4_ECOBD
Null	C6E9Y3	C6E9Y3_ECOBD
Null	C6EB48	C6EB48_ECOBD
Null	C6EB49	C6EB49_ECOBD
Null	C6ECH4	C6ECH4_ECOBD
Null	C6EFS5	C6EFS5_ECOBD
Null	C6EFS7	C6EFS7_ECOBD
Null	C6EJI5	C6EJI5_ECOBD
3MG1_ECOLI	P05100	C6EED2_ECOBD
3MG2_ECOLI	P04395	C6EAN9_ECOBD
6PGD_ECOLI	P00350	C6EB56_ECOBD
6PGL_ECOLI	P52697	Null
AAT_ECOLI	P00509	C6EI54_ECOBD
ABDH_ECOLI	P77674	C6EER9_ECOBD
ABGA_ECOLI	P77357	C6EFP5_ECOBD
ABGB_ECOLI	P76052	C6EFP6_ECOBD
ABGR_ECOLI	P77744	C6EFP4_ECOBD
ACCA_ECOLI	P0ABD5	C6EAA0_ECOBD
ACCC_ECOLI	P24182	C6EGK4_ECOBD
ACCD_ECOLI	P0A9Q5	C6ELD7_ECOBD
ACDH_ECOLI	P77580	C6ELM9_ECOBD
ACEA_ECOLI	P0A9G6	C6EE08_ECOBD
ACEK_ECOLI	P11071	C6EE07_ECOBD
ACKA_ECOLI	P0A6A3	C6ELF7_ECOBD
ACON1_ECOLI	P25516	C6EFV8_ECOBD
ACON2_ECOLI	P36683	C6EAT9_ECOBD
ACPH_ECOLI	P21515	C6ELI0_ECOBD
ACPS_ECOLI	P24224	C6EK24_ECOBD
ACPT_ECOLI	P37623	C6EF99_ECOBD
ACSA_ECOLI	P27550	C6ED56_ECOBD
ACYP_ECOLI	P0AB65	C6EI13_ECOBD
ADA_ECOLI	P06134	C6E9Y6_ECOBD
ADD_ECOLI	P22333	C6EDM4_ECOBD
ADH2_ECOLI	P37686	C6EE86_ECOBD
ADHE_ECOLI	P0A9Q7	C6EGM8_ECOBD
ADIA_ECOLI	P28629	C6ED07_ECOBD
ADIY_ECOLI	P33234	C6ED08_ECOBD
ADPP_ECOLI	Q93K97	C6EHV9_ECOBD
AEGA_ECOLI	P37127	C6EKP4_ECOBD
AES_ECOLI	P23872	C6EKY8_ECOBD
AGAA_ECOLI	P42906	C6EH90_ECOBD
AGAL_ECOLI	P06720	C6ED05_ECOBD
AGAR_ECOLI	P0ACK2	C6EH96_ECOBD
AGAS_ECOLI	P42907	C6EH89_ECOBD
AHPC_ECOLI	P0AE08	C6EK89_ECOBD
AHPF_ECOLI	P35340	C6EK88_ECOBD
AIDB_ECOLI	P33224	C6ECG2_ECOBD
AK2H_ECOLI	P00562	C6EE68_ECOBD
AK3_ECOLI	P08660	C6EE00_ECOBD
ALDA_ECOLI	P25553	C6EEU8_ECOBD
ALDB_ECOLI	P37685	C6EE87_ECOBD
ALF_ECOLI	P0AB71	C6EII4_ECOBD
ALF1_ECOLI	P0A991	C6EAL3_ECOBD
ALKH_ECOLI	P0A955	C6EBX8_ECOBD
ALLA_ECOLI	P77731	C6EKW0_ECOBD
ALLB_ECOLI	P77671	C6EKV4_ECOBD
ALLC_ECOLI	P77425	C6EKV0_ECOBD
ALLD_ECOLI	P77555	C6EKU9_ECOBD
ALLR_ECOLI	P0ACN4	C6EKV9_ECOBD
ALLS_ECOLI	P0ACR0	C6EKW1_ECOBD
ALPA_ECOLI	P33997	Null
ALR1_ECOLI	P0A6B4	C6ED72_ECOBD
ALR2_ECOLI	P29012	C6EGS7_ECOBD
ALSE_ECOLI	P32719	C6ED38_ECOBD
ALSK_ECOLI	P32718	C6ED39_ECOBD
AMN_ECOLI	P0AE12	C6EB87_ECOBD
AMPA_ECOLI	P68767	C6EC91_ECOBD
AMPD_ECOLI	P13016	C6EAU7_ECOBD
AMPM_ECOLI	P0AE18	C6EAB7_ECOBD
AMPP_ECOLI	P15034	C6EIK0_ECOBD
AMY2_ECOLI	P26612	C6EBD4_ECOBD
ANMK_ECOLI	P77570	C6EDK5_ECOBD
APAG_ECOLI	P62672	C6EB03_ECOBD
APAH_ECOLI	P05637	C6EB04_ECOBD
APPY_ECOLI	P05052	Null
APT_ECOLI	P69503	C6EKZ5_ECOBD
ARAA_ECOLI	P08202	C6EAZ3_ECOBD
ARAB_ECOLI	P08204	C6EAZ2_ECOBD
ARAC_ECOLI	P0A9E0	C6EAZ1_ECOBD
ARAD_ECOLI	P08203	C6EAZ4_ECOBD
ARCA_ECOLI	P0A9Q1	C6EBH0_ECOBD
ARCC_ECOLI	P37306	C6EKU5_ECOBD
ARCL_ECOLI	Q46807	C6EIN4_ECOBD
ARCM_ECOLI	P77624	C6ELQ7_ECOBD
ARGA_ECOLI	P0A6C5	C6EJ51_ECOBD
ARGB_ECOLI	P0A6C8	C6EE50_ECOBD
ARGC_ECOLI	P11446	C6EE51_ECOBD
ARGD_ECOLI	P18335	C6EGA4_ECOBD
ARGE_ECOLI	P23908	C6EE52_ECOBD
