Accession	Molecular Function(EcoCyc)
P45522	antiporter activity
P0A759	hydrolase activity|glucosamine-6-phosphate deaminase activity|catalytic activity
P32144	DNA binding
C4ZV68	DNA binding
P77402	DNA binding
P06996	porin activity
C4ZUB9	oxidoreductase activity|quinone binding|NADH dehydrogenase (quinone) activity
C4ZVL6	transferase activity
C5A022	translation elongation factor activity
B1XEM2	DNA binding
B1X795	hydrolase activity|nucleotide binding|ATP binding
P39399	DNA binding
P37005	methyltransferase activity|transferase activity
P67729	ion channel activity
P16433	4 iron, 4 sulfur cluster binding|oxidoreductase activity|iron-sulfur cluster binding|metal ion binding
C4ZTF4	exonuclease activity
C4ZV54	DNA binding
C4ZQ10	RNA binding|translation initiation factor activity
B1XDM7	peptidase activity
P0A850	isomerase activity|peptidyl-prolyl cis-trans isomerase activity
P76145	methyltransferase activity|transferase activity|trans-aconitate 2-methyltransferase activity
C4ZRM7	methyltransferase activity|3-methyl-2-oxobutanoate hydroxymethyltransferase activity|transferase activity|metal ion binding
C4ZPU0	nucleotide binding|ATP binding
P76045	porin activity
P0A6V1	transferase activity|glucose-1-phosphate adenylyltransferase activity|catalytic activity|nucleotide binding|nucleotidyltransferase activity|ATP binding
C4ZXA1	nucleotide binding|ATP binding
C4ZZR5	nucleotide binding|ATP binding
P0AC00	hydrolase activity
B1XBK9	lyase activity|tryptophan synthase activity
C4ZRV8	isomerase activity|metal ion binding
C4ZYE2	lyase activity|transferase activity|selenocysteine lyase activity|cysteine desulfurase activity
B1XHE4	arginine-tRNA ligase activity|nucleotide binding|aminoacyl-tRNA ligase activity|ligase activity|ATP binding
B1X5W5	transferase activity|nucleotide binding|kinase activity|ATP binding
C4ZYN7	RNA binding
C5A0C6	isomerase activity|4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase activity
C4ZZU1	transferase activity|nucleotide binding|kinase activity|ATP binding
B1XCV3	symporter activity
B1XHC1	DNA binding
P05459	oxidoreductase activity|4-phosphoerythronate dehydrogenase activity
B1XDK3	preQ1 synthase activity|oxidoreductase activity
B1XE32	receptor activity
B1XCR7	sigma factor activity|DNA binding
C5A1D9	translation elongation factor activity
C4ZSE9	hydrolase activity
C4ZRL4	spermidine synthase activity|transferase activity
C4ZZD9	hydrolase activity
P31979	4 iron, 4 sulfur cluster binding|oxidoreductase activity|quinone binding|iron-sulfur cluster binding|NADH dehydrogenase (quinone) activity|metal ion binding
P39410	transferase activity|kinase activity
B1XCI6	DNA binding
P0A9V1	hydrolase activity|nucleotide binding|ATP binding
B1XFL3	methyltransferase activity|transferase activity
P52133	DNA binding
B1XFF0	oxidoreductase activity|metal ion binding
B1X8J0	DNA binding
C4ZZB2	nucleotide binding|ATP binding
B1XFM8	DNA binding
P21599	pyruvate kinase activity|transferase activity|kinase activity|nucleotide binding|catalytic activity|metal ion binding|ATP binding
P77536	4 iron, 4 sulfur cluster binding|iron-sulfur cluster binding|metal ion binding
B1X689	transferase activity|acyltransferase activity
P0A9D4	transferase activity|acyltransferase activity|serine O-acetyltransferase activity
B1X8L3	transferase activity
P05523	hydrolase activity|lyase activity|DNA binding|DNA-(apurinic or apyrimidinic site) lyase activity|catalytic activity|hydrolase activity, acting on glycosyl bonds|oxidized purine base lesion DNA N-glycosylase activity|metal ion binding
P23331	thymidine kinase activity|transferase activity|kinase activity|nucleotide binding|catalytic activity|metal ion binding|ATP binding
C4ZZQ5	GTP binding|sulfate adenylyltransferase (ATP) activity|transferase activity|nucleotide binding|nucleotidyltransferase activity|ATP binding
P43340	oxidoreductase activity
B1X702	uridine kinase activity|transferase activity|nucleotide binding|kinase activity|ATP binding
B1X7Z6	hydrolase activity|nucleotide binding|ATP binding
P0CE45	symporter activity
P30125	oxidoreductase activity|3-isopropylmalate dehydrogenase activity|metal ion binding
C5A0M9	tRNA (guanine-N7-)-methyltransferase activity|methyltransferase activity|transferase activity
P77783	4 iron, 4 sulfur cluster binding|oxidoreductase activity|iron-sulfur cluster binding|metal ion binding
C5A038	glutamate-ammonia ligase activity|ligase activity
B1XDF2	nucleotide binding|ATP binding
P0A8N3	aminoacyl-tRNA ligase activity|nucleotide binding|metal ion binding|ATP binding|lysine-tRNA ligase activity|ligase activity
C4ZVZ9	hydrolase activity|nucleotide binding|ATP binding
C4ZUY3	DNA binding
P0ACB4	oxidoreductase activity
P13001	hydrolase activity|methyl salicylate esterase activity|methyl jasmonate esterase activity|carboxylesterase activity|methyl indole-3-acetate esterase activity
C4ZRG0	lyase activity
B1XGS2	DNA binding
P20083	isomerase activity|DNA topoisomerase activity|nucleotide binding|ATP binding
C4ZT64	thymidine phosphorylase activity|transferase activity, transferring glycosyl groups|transferase activity
P0AEA8	precorrin-2 dehydrogenase activity|lyase activity|oxidoreductase activity|methyltransferase activity|uroporphyrin-III C-methyltransferase activity|sirohydrochlorin ferrochelatase activity|transferase activity|catalytic activity
P0CF54	DNA binding
C4ZXE9	glycine-tRNA ligase activity|nucleotide binding|aminoacyl-tRNA ligase activity|ligase activity|ATP binding
P36771	DNA binding
C4ZW92	hydrolase activity
B1XEU1	DNA binding
P26647	transferase activity, transferring acyl groups other than amino-acyl groups|transferase activity|1-acylglycerol-3-phosphate O-acyltransferase activity|acyltransferase activity
P69741	4 iron, 4 sulfur cluster binding|iron-sulfur cluster binding|oxidoreductase activity|3 iron, 4 sulfur cluster binding|hydrogenase (acceptor) activity|metal ion binding
B1XFE5	transferase activity
P33916	nucleotide binding|ATP binding
P14565	hydrolase activity|helicase activity|DNA binding|nucleotide binding|ATP binding
B1XHK8	peptidase activity
P0ACF8	DNA binding
P27434	DNA binding
C4ZRZ0	transferase activity, transferring hexosyl groups|transferase activity, transferring glycosyl groups|transferase activity
P24241	transferase activity|protein-N(PI)-phosphohistidine-sugar phosphotransferase activity|kinase activity
P60723	RNA binding|rRNA binding
P0AE72	DNA binding
P77700	DNA binding
C4ZWU2	oxidoreductase activity
C4ZZ57	transferase activity
P37749	transferase activity
P07862	D-alanine-D-alanine ligase activity|nucleotide binding|metal ion binding|ATP binding|ligase activity
P0A6P5	GTP binding|nucleotide binding
B1XBJ3	DNA binding
P0AFT5	DNA binding
P77398	methyltransferase activity|oxidoreductase activity|transferase activity|catalytic activity
C4ZQM8	mannosyl-3-phosphoglycerate phosphatase activity|hydrolase activity
C4ZY55	magnesium ion binding|dethiobiotin synthase activity|nucleotide binding|metal ion binding|ATP binding|ligase activity
B1XD10	magnesium ion binding|aminoacyl-tRNA ligase activity|nucleotide binding|metal ion binding|lysine-tRNA ligase activity|ATP binding|ligase activity
P17446	DNA binding
C4ZRW4	hydrolase activity
P0A901	lipid binding
B1XA05	beta-ketoacyl-acyl-carrier-protein synthase II activity|transferase activity|acyltransferase activity
B1XF54	4 iron, 4 sulfur cluster binding|iron-sulfur cluster binding|metal ion binding
B1XGX8	isomerase activity|pseudouridine synthase activity
P0AED7	hydrolase activity|metal ion binding|succinyl-diaminopimelate desuccinylase activity
P68919	RNA binding|rRNA binding
P0A6E9	nucleotide binding|dethiobiotin synthase activity|metal ion binding|ATP binding|ligase activity
P0A7F6	lyase activity|adenosylmethionine decarboxylase activity|carboxy-lyase activity|catalytic activity
B1XB98	hydrolase activity|peptidase activity|threonine-type endopeptidase activity|catalytic activity|metal ion binding
B1X7R2	nucleotide binding|ATP binding
P07658	4 iron, 4 sulfur cluster binding|oxidoreductase activity|iron-sulfur cluster binding|formate dehydrogenase (NAD+) activity|metal ion binding
C5A0T1	lyase activity
B1X6G5	RNA binding|rRNA binding|tRNA binding
B1XCD7	transferase activity
C4ZXJ2	DNA binding
B1XEX5	oxidoreductase activity|pyrroline-5-carboxylate reductase activity
C5A156	DNA binding
P22259	lyase activity|carboxy-lyase activity|catalytic activity|nucleotide binding|phosphoenolpyruvate carboxykinase (ATP) activity|ATP binding
C4ZWJ5	transferase activity|citrate (Si)-synthase activity
P77360	oxidoreductase activity|metal ion binding
P77795	nucleotide binding|ATP binding
P0ABN1	diacylglycerol kinase activity|transferase activity|nucleotide binding|kinase activity|ATP binding
B1X9Y9	DNA binding
P63386	hydrolase activity|nucleotide binding|ATP binding
P75969	protein heterodimerization activity
B1XG58	[glutamate-ammonia-ligase] adenylyltransferase activity|transferase activity|nucleotide binding|nucleotidyltransferase activity|ATP binding
B1XF95	metal ion binding
B1X9V0	hydrolase activity|hydrolase activity, acting on glycosyl bonds
P0AD61	pyruvate kinase activity|transferase activity|kinase activity|nucleotide binding|catalytic activity|metal ion binding|ATP binding
P77746	DNA binding
C5A028	kinase activity
P0CF84	DNA binding
P19636	lyase activity|cobalamin binding|ethanolamine ammonia-lyase activity
C4ZTU6	hydrolase activity
B1XG77	transaminase activity|transferase activity|butane-1,4-diamine:2-oxoglutarate aminotransferase activity
B1XB48	isomerase activity
P37340	antiporter activity
C4ZR49	RNA binding
B1X960	transferase activity
C4ZYZ3	hydrolase activity
C4ZRP1	hydrolase activity|helicase activity|nucleotide binding|ATP binding
P76403	hydrolase activity|peptidase activity
P24182	biotin carboxylase activity|acetyl-CoA carboxylase activity|nucleotide binding|ligase activity|ATP binding
P36562	transferase activity, transferring glycosyl groups|transferase activity|nicotinate-nucleotide-dimethylbenzimidazole phosphoribosyltransferase activity
C5A0D0	DNA binding
C4ZW12	nucleotide binding|ATP binding
B1XEY3	kinase activity
B1XAK1	protein transporter activity
B1XG65	DNA binding
P0A9Z1	nucleotide binding
C5A1C6	DNA binding
P45464	enzyme regulator activity
C4ZVK8	nucleotide binding|ligase activity|ATP binding
C4ZRJ3	nucleotide binding|metal ion binding|ATP binding
P0CE58	DNA binding
C4ZUL3	DNA binding
C4ZRK9	dihydrolipoyl dehydrogenase activity|oxidoreductase activity
A4UR83	DNA binding
B1X8V8	lyase activity|aldehyde-lyase activity|metal ion binding
P27297	nucleotide binding|ATP binding
C4ZQ04	methyltransferase activity|transferase activity
C5A005	5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity|methyltransferase activity|transferase activity|metal ion binding
C4ZUA0	substrate-specific transmembrane transporter activity
P41039	metal ion binding
C4ZXY4	oxidoreductase activity|DNA binding|metal ion binding
C4ZUS9	lyase activity|ferrochelatase activity|metal ion binding
B1XF94	DNA binding
P0AGC5	lyase activity|carbon-oxygen lyase activity, acting on polysaccharides
B1XA89	pyridoxal kinase activity|transferase activity|kinase activity|nucleotide binding|metal ion binding|ATP binding
C4ZRT7	proline-tRNA ligase activity|nucleotide binding|aminoacyl-tRNA ligase activity|ligase activity|ATP binding
P36928	nucleotide binding|ATP binding
C5A168	lyase activity
B1XD95	oxidoreductase activity
B1X5W3	receptor activity
P0A9Q9	oxidoreductase activity|aspartate-semialdehyde dehydrogenase activity
B1XD79	DNA-directed DNA polymerase activity|transferase activity|nucleotidyltransferase activity
B1XFI9	lyase activity
P24200	hydrolase activity|nuclease activity|endonuclease activity
C5A0V2	lyase activity
B1X9Z8	transferase activity
B1XAD5	sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase activity|transferase activity
P76342	oxidoreductase activity|metal ion binding
P09147	isomerase activity|UDP-glucose 4-epimerase activity
C4ZQ98	oxidoreductase activity|metal ion binding
B1XHF9	GTP binding|nucleotide binding
P23857	transferase activity|thiosulfate sulfurtransferase activity
P27830	lyase activity|dTDP-glucose 4,6-dehydratase activity
C4ZXM0	transferase activity, transferring glycosyl groups|transferase activity
B1XF83	DNA binding
P0ABB4	hydrolase activity|nucleotide binding|ATP binding
P76159	hydrolase activity|hydrolase activity, acting on glycosyl bonds|lysozyme activity|catalytic activity
C4ZTN0	oxidoreductase activity|D-amino-acid dehydrogenase activity
P32129	transferase activity|acyltransferase activity
B1XCL2	oxidoreductase activity|ribonucleoside-diphosphate reductase activity
P76422	phosphomethylpyrimidine kinase activity|transferase activity|hydroxymethylpyrimidine kinase activity|nucleotide binding|kinase activity|ATP binding
P0A6D5	quinate/shikimate dehydrogenase activity|oxidoreductase activity
P31453	DNA binding
P0A7A7	glycerol-3-phosphate O-acyltransferase activity|transferase activity|acyltransferase activity
C5A0J7	oxidoreductase activity|erythrose-4-phosphate dehydrogenase activity
B1XA16	thiamine kinase activity|transferase activity|kinase activity|nucleotide binding|ATP binding
Q06065	DNA binding|nucleotide binding|ATP binding
C4ZZ53	isomerase activity|UDP-N-acetylglucosamine 2-epimerase activity
C4ZSX2	peptidase activity
B1XFR5	antiporter activity
P32138	hydrolase activity|hydrolase activity, acting on glycosyl bonds|alpha-glucosidase activity|maltose alpha-glucosidase activity
P0A8R9	DNA binding
B1X9N7	DNA binding
C4ZWI9	hydrolase activity|hydrolase activity, acting on glycosyl bonds|lyase activity|DNA-(apurinic or apyrimidinic site) lyase activity|DNA binding|catalytic activity|metal ion binding
P0AGD7	RNA binding|GTP binding|nucleotide binding
P12281	transferase activity|metal ion binding
P0CE60	DNA binding
B1XBY9	DNA-directed RNA polymerase activity|transferase activity|nucleotidyltransferase activity
C4ZQN4	methyltransferase activity|transferase activity|DNA (cytosine-5-)-methyltransferase activity
B1XGA4	DNA binding
P60757	transferase activity, transferring glycosyl groups|transferase activity|ATP phosphoribosyltransferase activity|nucleotide binding|metal ion binding|ATP binding
C4ZZT4	hydrolase activity
C4ZUP4	lyase activity|3-dehydroquinate synthase activity
B1XEV9	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen
B1XB65	transferase activity
B1XBH5	hydrolase activity|hydrolase activity, acting on glycosyl bonds|lysozyme activity|catalytic activity
P0ACE0	oxidoreductase activity|hydrogenase (acceptor) activity|metal ion binding
P0AAE5	antiporter activity
B1XEV4	transferase activity
Q47141	DNA binding
C4ZTC0	oxidoreductase activity|metal ion binding
C4ZWA4	lyase activity|transferase activity
B1XHM9	oxidoreductase activity
B1X6F5	RNA binding|rRNA binding
B1XDE9	DNA binding
P75960	hydrolase activity|metal ion binding
B1X6B8	transferase activity|nucleotide binding|kinase activity|ATP binding
B1X8W7	transferase activity, transferring glycosyl groups|transferase activity
P0A6W9	glutamate-cysteine ligase activity|nucleotide binding|ligase activity|ATP binding
B1XD39	translation elongation factor activity
B1XET7	betaine-aldehyde dehydrogenase activity|oxidoreductase activity
P43674	metallopeptidase activity|hydrolase activity|peptidase activity|metal ion binding
B1XAF1	DNA binding
P29680	lyase activity|uroporphyrinogen decarboxylase activity|carboxy-lyase activity
Q46822	isomerase activity|isopentenyl-diphosphate delta-isomerase activity|metal ion binding
B1X750	lyase activity|carboxy-lyase activity|nucleotide binding|phosphoenolpyruvate carboxykinase (ATP) activity|ATP binding
B1XAD9	4 iron, 4 sulfur cluster binding|iron-sulfur cluster binding|metal ion binding
B1XG57	transferase activity|kinase activity|catalytic activity|nucleotide binding|nucleotidyltransferase activity|ATP binding
C4ZWI4	dipeptide transporter activity|peptide:hydrogen symporter activity
P0A700	metal ion binding
C4ZSX5	DNA binding
C5A0K5	hydrolase activity|metallopeptidase activity|peptidase activity
P09152	nitrate reductase activity|4 iron, 4 sulfur cluster binding|oxidoreductase activity|iron-sulfur cluster binding|metal ion binding
B1XBM3	isomerase activity|DNA topoisomerase activity|DNA topoisomerase type I activity|DNA binding|nucleotide binding|ATP binding
C4ZX38	transferase activity
P76117	transferase activity
P0A6I3	transferase activity|nucleotide binding|pantothenate kinase activity|kinase activity|ATP binding
C4ZVS8	symporter activity
C4ZRY1	DNA binding
P32099	transferase activity|nucleotide binding|ATP binding
C4ZXN2	hydrolase activity|metal ion binding|dUTP diphosphatase activity
P0ACR7	DNA binding
P77397	oxidoreductase activity|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NADH or NADPH as one donor, and incorporation of one atom of oxygen
C4ZTQ3	methyltransferase activity|transferase activity
B1XBF1	aminoacyl-tRNA ligase activity|nucleotide binding|isoleucine-tRNA ligase activity|metal ion binding|ATP binding|ligase activity
B1X720	isomerase activity
P0C079	DNA binding
P0A6P7	GTP binding|nucleotide binding
P76226	transferase activity
B1XGQ0	DNA binding
C5A198	hydrolase activity|nucleotide binding|ATP binding
B1XCG8	DNA binding
B1X7F5	aldehyde-lyase activity|lyase activity
B1XFN6	nucleotide binding|ATP binding
Q6IFZ3	transferase activity|kinase activity
C4ZUJ0	hydrolase activity|peptidase activity|methyltransferase activity
P13029	catalase activity|oxidoreductase activity|peroxidase activity|metal ion binding
B1XFU9	RNA binding|tyrosine-tRNA ligase activity|nucleotide binding|aminoacyl-tRNA ligase activity|ligase activity|ATP binding
C4ZPY5	isomerase activity|L-arabinose isomerase activity|metal ion binding
P0AGG0	transferase activity|nucleotide binding|kinase activity|thiamine-phosphate kinase activity|ATP binding
C4ZQ55	porin activity
P03030	DNA binding
C4ZX42	transferase activity|nucleotide binding|kinase activity|ATP binding
P31134	nucleotide binding|ATP binding
C4ZU16	transferase activity|kinase activity
B1XAY4	hydrolase activity|exonuclease activity|nuclease activity|exodeoxyribonuclease VII activity
B1X945	transferase activity
C4ZTG1	hydrolase activity|[acyl-carrier-protein] phosphodiesterase activity
B1XG26	DNA binding
P27254	transferase activity|nucleotide binding|kinase activity|ATP binding
C5A0C7	transferase activity|acyltransferase activity
B1XB75	oxidoreductase activity|superoxide dismutase activity
C4ZTB8	nucleic acid binding
B1XCN8	oxidoreductase activity
P0A924	hydrolase activity|phosphatidylglycerophosphatase activity
C4ZXX9	methyltransferase activity|transferase activity
B1XD51	lipid-A-disaccharide synthase activity|transferase activity, transferring glycosyl groups|transferase activity
P00904	anthranilate phosphoribosyltransferase activity|lyase activity|transferase activity, transferring glycosyl groups|transferase activity|catalytic activity|anthranilate synthase activity
C4ZVA5	DNA binding
C4ZYX6	isomerase activity|DNA topoisomerase activity|DNA topoisomerase (ATP-hydrolyzing) activity|nucleotide binding|ATP binding
B1XBC7	transferase activity|kinase activity
P00363	oxidoreductase activity|succinate dehydrogenase activity
B1X9T5	hydrolase activity|GTP binding|nucleotide binding|metal ion binding
C4ZWF5	transferase activity|kinase activity
B1XED8	transferase activity|acyltransferase activity
P75876	methyltransferase activity|RNA binding|transferase activity|rRNA (cytosine) methyltransferase activity
C4ZPV6	hydrolase activity|hydrolase activity, acting on glycosyl bonds
P76418	hydrolase activity
P52043	transferase activity
Q46864	DNA binding|metal ion binding
C4ZXZ5	lyase activity
C4ZUW3	kinase activity
C4ZZY2	hydrolase activity|metal ion binding
P76216	hydrolase activity|N-succinylarginine dihydrolase activity
B1XEJ9	isomerase activity|ribose-5-phosphate isomerase activity
P46118	DNA binding
P23908	hydrolase activity|acetylornithine deacetylase activity|metal ion binding
C4ZSE5	transferase activity
P76461	transferase activity|acetyl-CoA C-acetyltransferase activity|acyltransferase activity
C4ZZK6	transferase activity|nucleotide binding|metal ion binding|ATP binding
B1XED1	DNA binding
P42599	oxidoreductase activity
B1XEN7	valine-tRNA ligase activity|nucleotide binding|aminoacyl-tRNA ligase activity|ligase activity|ATP binding
B1XA92	hydrolase activity|cysteine synthase activity|transferase activity
Q46829	hydrolase activity|hydrolase activity, acting on glycosyl bonds|6-phospho-beta-glucosidase activity
P07000	hydrolase activity|lysophospholipase activity
P69681	ammonia transmembrane transporter activity
P0A7I4	GTP binding|nucleotide binding
C5A119	hydrolase activity
P00903	transferase activity|4-amino-4-deoxychorismate synthase activity
C4ZWT8	oxidoreductase activity|tagaturonate reductase activity
P00892	acetolactate synthase activity|transferase activity|metal ion binding
B1X949	transferase activity
B1XD25	antiporter activity
C5A0I8	kinase activity
P0A8Z7	hydrolase activity|carboxylesterase activity
P0AGJ2	methyltransferase activity|tRNA (guanosine-2'-O-)-methyltransferase activity|transferase activity
C4ZXF6	isomerase activity|xylose isomerase activity|metal ion binding
P0A799	phosphoglycerate kinase activity|transferase activity|nucleotide binding|kinase activity|ATP binding
P37146	oxidoreductase activity|ribonucleoside-diphosphate reductase activity|metal ion binding
B1X8X4	o-succinylbenzoate-CoA ligase activity|ligase activity
P33358	DNA binding
C4ZZC8	transferase activity|kinase activity
P0AG16	transferase activity, transferring glycosyl groups|amidophosphoribosyltransferase activity|transferase activity|metal ion binding
C4ZT33	nucleotide binding|ATP binding|endonuclease activity
C4ZXU4	kinase activity
B1X625	transferase activity|lipoyl(octanoyl) transferase activity|acyltransferase activity|ligase activity
C4ZU33	hydrolase activity
B1XC93	aconitate hydratase activity|citrate hydro-lyase (cis-aconitate-forming) activity|lyase activity|isocitrate hydro-lyase (cis-aconitate-forming) activity
P02943	porin activity
C4ZXP3	methyltransferase activity|transferase activity
B1XA85	hydrolase activity|cysteine synthase activity|transferase activity
C5A0L3	metal ion binding
C4ZWK5	transferase activity
P0A9M5	xanthine phosphoribosyltransferase activity|transferase activity, transferring glycosyl groups|transferase activity|metal ion binding
P22188	UDP-N-acetylmuramoylalanyl-D-glutamate-2,6-diaminopimelate ligase activity|nucleotide binding|ligase activity|ATP binding
B1XC09	hydrolase activity|phosphoribosylaminoimidazolecarboxamide formyltransferase activity|transferase activity|catalytic activity|IMP cyclohydrolase activity
C4ZWV6	hydrolase activity|metallopeptidase activity|peptidase activity|carboxypeptidase activity
P64578	hydrolase activity|RNA binding|nuclease activity|endonuclease activity
C5A0K0	metal ion binding
B1X8S1	methyltransferase activity|RNA binding|transferase activity
P14175	nucleotide binding|ATP binding
Q47129	DNA binding
P77731	hydrolase activity|ureidoglycolate hydrolase activity
C4ZVF6	oxidoreductase activity
P55135	4 iron, 4 sulfur cluster binding|methyltransferase activity|iron-sulfur cluster binding|transferase activity|metal ion binding
C4ZU61	kinase activity
P0AG20	GTP diphosphokinase activity|GTP binding|transferase activity|nucleotide binding|kinase activity|ATP binding
P18133	nicotinate phosphoribosyltransferase activity|transferase activity, transferring glycosyl groups|transferase activity
P43329	hydrolase activity|helicase activity|nucleotide binding|ATP binding
B1XCP1	DNA binding
C4ZXM7	hydrolase activity|lyase activity|DNA binding|DNA-(apurinic or apyrimidinic site) lyase activity|catalytic activity|hydrolase activity, acting on glycosyl bonds|oxidized purine base lesion DNA N-glycosylase activity|metal ion binding
B1X6D5	RNA binding|tRNA binding|nucleotide binding|ATP binding
B1X6Q8	succinate-CoA ligase (ADP-forming) activity|nucleotide binding|metal ion binding|ATP binding|ligase activity
B1XFA5	metal ion binding
B1XDW8	oxidoreductase activity|peptide-methionine-(S)-S-oxide reductase activity
C4ZXD3	lytic transglycosylase activity|lyase activity|carbon-oxygen lyase activity, acting on polysaccharides
P22256	(S)-3-amino-2-methylpropionate transaminase activity|transaminase activity|transferase activity|4-aminobutyrate transaminase activity
P08997	transferase activity|malate synthase activity
A4UR78	DNA binding
B1X934	transferase activity
Q93K97	ADP-ribose diphosphatase activity|hydrolase activity|metal ion binding
C4ZTH9	hydrolase activity|exonuclease activity|nuclease activity|exodeoxyribonuclease VII activity
P0C0T5	metallopeptidase activity|hydrolase activity|peptidase activity|metal ion binding
C4ZVW2	transferase activity, transferring glycosyl groups|transferase activity
B1X7S2	receptor activity
P76518	transferase activity
C5A0F8	4 iron, 4 sulfur cluster binding|iron-sulfur cluster binding|metal ion binding
C4ZUH3	RNA binding|rRNA binding
B1XFJ5	DNA binding
B1X8A2	nitrate reductase activity|4 iron, 4 sulfur cluster binding|oxidoreductase activity|iron-sulfur cluster binding|metal ion binding
B1X8N5	nicotinate phosphoribosyltransferase activity|transferase activity, transferring glycosyl groups|transferase activity
P77714	iron-sulfur cluster binding|metal ion binding
B1X9G7	transferase activity|acyltransferase activity
P22939	geranyltranstransferase activity|transferase activity|metal ion binding
C4ZVT9	DNA binding
P38038	sulfite reductase (NADPH) activity|oxidoreductase activity
P68644	oxidoreductase activity
C4ZQE0	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen|oxidoreductase activity|monooxygenase activity
P39407	hydrolase activity
P39288	4 iron, 4 sulfur cluster binding|iron-sulfur cluster binding|metal ion binding
B1X647	nucleotide binding|ATP binding
C4ZRS6	DNA-directed DNA polymerase activity|transferase activity|nucleotidyltransferase activity
C5A134	glycerol-3-phosphate O-acyltransferase activity|transferase activity|acyltransferase activity
P0CF45	DNA binding
P76046	nucleotide binding|ATP binding
Q2EES9	DNA binding
C4ZTW2	isomerase activity|RNA binding
P21165	hydrolase activity|metallopeptidase activity|peptidase activity|dipeptidase activity|metal ion binding
C4ZTX9	DNA binding
B1XBQ2	methyltransferase activity|tRNA (adenine-N6-)-methyltransferase activity|transferase activity
B1X8N9	alkanesulfonate monooxygenase activity|oxidoreductase activity|monooxygenase activity
C4ZZB9	isomerase activity|DNA topoisomerase activity|DNA topoisomerase type I activity|DNA binding|nucleotide binding|ATP binding
B1X776	hydrolase activity|hydrolase activity, acting on glycosyl bonds
B1XC63	nucleotide binding|UDP-N-acetylmuramoyl-tripeptide-D-alanyl-D-alanine ligase activity|ATP binding|ligase activity
B1X6T0	transferase activity
P69931	nucleotide binding
C4ZSS2	GTP binding|GTPase activity|nucleotide binding
B1X671	nuclease activity
B1X858	transferase activity|kinase activity
P05020	hydrolase activity|dihydroorotase activity|metal ion binding
P46889	DNA binding|nucleotide binding|ATP binding
P77243	2-methylcitrate dehydratase activity|lyase activity|iron-sulfur cluster binding|2 iron, 2 sulfur cluster binding|metal ion binding
B1XFQ9	metal ion binding
B1XCC9	oxidoreductase activity
C4ZZ34	DNA binding
B1XD77	methyltransferase activity|transferase activity
P06612	isomerase activity|DNA topoisomerase activity|DNA topoisomerase type I activity|DNA binding|nucleotide binding|metal ion binding|ATP binding
D0VEX4	beta-ketoacyl-acyl-carrier-protein synthase III activity|3-oxoacyl-[acyl-carrier-protein] synthase activity|transferase activity|catalytic activity|acyltransferase activity
B1X658	transferase activity, transferring glycosyl groups|alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity|transferase activity
B1XAP5	hydrolase activity|aminoacyl-tRNA hydrolase activity
P0A972	DNA binding
B1XDS5	peptidase activity
C4ZPU6	DNA binding
C4ZTK1	nucleotide binding|metal ion binding|ATP binding|ligase activity
P76335	porin activity
B1XEY8	transferase activity|nucleotide binding|kinase activity|ATP binding
B1XBY0	DNA binding
C5A0I3	ligase activity
P39362	isomerase activity|metal ion binding
P52643	oxidoreductase activity|D-lactate dehydrogenase activity
B1XD30	hydrolase activity|dGTPase activity
P0AEX3	symporter activity
C4ZUT2	antiporter activity
B1XE74	nucleotide binding|ATP binding
P0AG76	hydrolase activity|exonuclease activity|endonuclease activity|nuclease activity
B1XA37	hydrolase activity|metallopeptidase activity|peptidase activity|aminopeptidase activity|metal ion binding|tripeptide aminopeptidase activity
C5A152	DNA binding|nucleotide binding|excinuclease ABC activity|metal ion binding|nuclease activity|ATP binding
C4ZVI3	aminobutyraldehyde dehydrogenase activity|oxidoreductase activity
P23845	GTP binding|sulfate adenylyltransferase (ATP) activity|transferase activity|nucleotide binding|nucleotidyltransferase activity|ATP binding
P25522	hydrolase activity|GTP binding|nucleotide binding|metal ion binding
C4ZRB4	DNA binding
C4ZSC1	transferase activity
C4ZSQ6	RNA binding|rRNA binding
P0A794	pyridoxine 5'-phosphate synthase activity|transferase activity
C5A193	lyase activity
B1X5W6	DNA binding
P0ACU7	DNA binding
B1XFU0	hydrolase activity|ureidoglycolate hydrolase activity
B1X6Y7	hydrolase activity
C4ZRN8	DNA binding
P0A9J4	oxidoreductase activity|2-dehydropantoate 2-reductase activity
C5A0S0	GTP binding|translation elongation factor activity|nucleotide binding
P0A790	lyase activity|carboxy-lyase activity|aspartate 1-decarboxylase activity
C4ZQQ5	transferase activity
B1X935	methyltransferase activity|oxidoreductase activity|tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase activity|transferase activity|catalytic activity
B1XHF2	methyltransferase activity|transferase activity
P76071	DNA binding
P0C0L2	oxidoreductase activity|peroxidase activity|peroxiredoxin activity|antioxidant activity
C5A0I4	oxidoreductase activity
