Join Name	CommonCore	CommonCore_MG1655_ref	No files found in	CommonCore Duplicates	CommonCore_MG1655_ref Duplicates
b2210		1	1		1	b2210
b2225		1	1		1	b2225
b2226		1	1		1	b2226
b2229		1	1		1	b2229
b2237		1	1		1	b2237
b2239		1	1		1	b2239
b2241		1	1		1	b2241
b2242		1	1		1	b2242
b2243		1	1		1	b2243
b2244		1	1		1	b2244
b2252		1	1		1	b2252
b2256		1	1		1	b2256
b2259		1	1		1	b2259
b2260		1	1		1	b2260
b2263		1	1		1	b2263
b2264		1	1		1	b2264
b2272		1	1		1	b2272
b2291		1	1		1	b2291
b2294		1	1		1	b2294
b2299		1	1		1	b2299
b2300		1	1		1	b2300
b2320		1	1		1	b2320
b2325		1	1		1	b2325
b2326		1	1		1	b2326
b2340		1	1		1	b2340
b2371		1	1		1	b2371
b2372		1	1		1	b2372
b2373		1	1		1	b2373
b2374		1	1		1	b2374
b2384		1	1		1	b2384
b2385		1	1		1	b2385
b2386		1	1		1	b2386
b2393		1	1		1	b2393
b2398		1	1		1	b2398
b2399		1	1		1	b2399
b2413		1	1		1	b2413
b2416		1	1		1	b2416
b2418		1	1		1	b2418
b2419		1	1		1	b2419
b2426		1	1		1	b2426
b2428		1	1		1	b2428
b2432		1	1		1	b2432
b2439		1	1		1	b2439
b2452		1	1		1	b2452
b2454		1	1		1	b2454
b2456		1	1		1	b2456
b2459		1	1		1	b2459
b2460		1	1		1	b2460
b2461		1	1		1	b2461
b2462		1	1		1	b2462
b2466		1	1		1	b2466
b2473		1	1		1	b2473
b2479		1	1		1	b2479
b2497		1	1		1	b2497
b2501		1	1		1	b2501
b2513		1	1		1	b2513
b2522		1	1		1	b2522
b2527		1	1		1	b2527
b2534		1	1		1	b2534
b2535		1	1		1	b2535
b2545		1	1		1	b2545
b2549		1	1		1	b2549
b2561		1	1		1	b2561
b2571		1	1		1	b2571
b2585		1	1		1	b2585
b2586		1	1		1	b2586
b2600		1	1		1	b2600
b2602		1	1		1	b2602
b2603		1	1		1	b2603
b2613		1	1		1	b2613
b2617		1	1		1	b2617
b2619		1	1		1	b2619
b2670		1	1		1	b2670
b2671		1	1		1	b2671
b2674		1	1		1	b2674
b2675		1	1		1	b2675
b2676		1	1		1	b2676
b2682		1	1		1	b2682
b2683		1	1		1	b2683
b2687		1	1		1	b2687
b2690		1	1		1	b2690
b2713		1	1		1	b2713
b2717		1	1		1	b2717
b2718		1	1		1	b2718
b2719		1	1		1	b2719
b2720		1	1		1	b2720
b2721		1	1		1	b2721
b2722		1	1		1	b2722
b2724		1	1		1	b2724
b2725		1	1		1	b2725
b2731		1	1		1	b2731
b2732		1	1		1	b2732
b2745		1	1		1	b2745
b2749		1	1		1	b2749
b2750		1	1		1	b2750
b2751		1	1		1	b2751
b2769		1	1		1	b2769
b2772		1	1		1	b2772
b2774		1	1		1	b2774
b2776		1	1		1	b2776
b2781		1	1		1	b2781
b2793		1	1		1	b2793
b2799		1	1		1	b2799
b2802		1	1		1	b2802
b2804		1	1		1	b2804
b2805		1	1		1	b2805
b2811		1	1		1	b2811
b2817		1	1		1	b2817
b2821		1	1		1	b2821
b2824		1	1		1	b2824
b2825		1	1		1	b2825
b2826		1	1		1	b2826
b2831		1	1		1	b2831
b2843		1	1		1	b2843
b2866		1	1		1	b2866
b2867		1	1		1	b2867
b2869		1	1		1	b2869
b2870		1	1		1	b2870
b2871		1	1		1	b2871
b2872		1	1		1	b2872
b2873		1	1		1	b2873
b2875		1	1		1	b2875
b2876		1	1		1	b2876
b2877		1	1		1	b2877
b2879		1	1		1	b2879
b2880		1	1		1	b2880
b2882		1	1		1	b2882
b2883		1	1		1	b2883
b2884		1	1		1	b2884
b2888		1	1		1	b2888
b2889		1	1		1	b2889
b2893		1	1		1	b2893
b2895		1	1		1	b2895
b2896		1	1		1	b2896
b2897		1	1		1	b2897
b2901		1	1		1	b2901
b2909		1	1		1	b2909
b2910		1	1		1	b2910
b2922		1	1		1	b2922
b2925		1	1		1	b2925
b2929		1	1		1	b2929
b2944		1	1		1	b2944
b2956		1	1		1	b2956
b2958		1	1		1	b2958
b2959		1	1		1	b2959
b2962		1	1		1	b2962
b2963		1	1		1	b2963
b2988		1	1		1	b2988
b2992		1	1		1	b2992
b2995		1	1		1	b2995
b2998		1	1		1	b2998
b3002		1	1		1	b3002
b3012		1	1		1	b3012
b3013		1	1		1	b3013
b3014		1	1		1	b3014
b3015		1	1		1	b3015
b3016		1	1		1	b3016
b3017		1	1		1	b3017
b3018		1	1		1	b3018
b3024		1	1		1	b3024
b3031		1	1		1	b3031
b3033		1	1		1	b3033
b3037		1	1		1	b3037
b3071		1	1		1	b3071
b3072		1	1		1	b3072
b3075		1	1		1	b3075
b3076		1	1		1	b3076
b3077		1	1		1	b3077
b3078		1	1		1	b3078
b3079		1	1		1	b3079
b3080		1	1		1	b3080
b3084		1	1		1	b3084
b3086		1	1		1	b3086
b3087		1	1		1	b3087
b3090		1	1		1	b3090
b3091		1	1		1	b3091
b3092		1	1		1	b3092
b3094		1	1		1	b3094
b3097		1	1		1	b3097
b3100		1	1		1	b3100
b3108		1	1		1	b3108
b3111		1	1		1	b3111
b3112		1	1		1	b3112
b3114		1	1		1	b3114
b3117		1	1		1	b3117
b3125		1	1		1	b3125
b3132		1	1		1	b3132
b3133		1	1		1	b3133
b3136		1	1		1	b3136
b3137		1	1		1	b3137
b3140		1	1		1	b3140
b3149		1	1		1	b3149
b3151		1	1		1	b3151
b3154		1	1		1	b3154
b3157		1	1		1	b3157
b3163		1	1		1	b3163
b3173		1	1		1	b3173
b3188		1	1		1	b3188
b3190		1	1		1	b3190
b3192		1	1		1	b3192
b3199		1	1		1	b3199
b3207		1	1		1	b3207
b3209		1	1		1	b3209
b3211		1	1		1	b3211
b3225		1	1		1	b3225
b3226		1	1		1	b3226
b3228		1	1		1	b3228
b3236		1	1		1	b3236
b3237		1	1		1	b3237
b3239		1	1		1	b3239
b3242		1	1		1	b3242
b3245		1	1		1	b3245
b3249		1	1		1	b3249
b3262		1	1		1	b3262
b3284		1	1		1	b3284
b3346		1	1		1	b3346
b3367		1	1		1	b3367
b3384		1	1		1	b3384
b3393		1	1		1	b3393
b3395		1	1		1	b3395
b3398		1	1		1	b3398
b3403		1	1		1	b3403
b3414		1	1		1	b3414
b3419		1	1		1	b3419
b3420		1	1		1	b3420
b3424		1	1		1	b3424
b3435		1	1		1	b3435
b3440		1	1		1	b3440
b3451		1	1		1	b3451
b3452		1	1		1	b3452
b3453		1	1		1	b3453
b3461		1	1		1	b3461
b3472		1	1		1	b3472
b3476		1	1		1	b3476
b3494		1	1		1	b3494
b3495		1	1		1	b3495
b3500		1	1		1	b3500
b3506		1	1		1	b3506
b3507		1	1		1	b3507
b3508		1	1		1	b3508
b3509		1	1		1	b3509
b3510		1	1		1	b3510
b3512		1	1		1	b3512
b3517		1	1		1	b3517
b3519		1	1		1	b3519
b3522		1	1		1	b3522
b3527		1	1		1	b3527
b3539		1	1		1	b3539
b3554		1	1		1	b3554
b3555		1	1		1	b3555
b3570		1	1		1	b3570
b3571		1	1		1	b3571
b3573		1	1		1	b3573
b3598		1	1		1	b3598
b3599		1	1		1	b3599
b3600		1	1		1	b3600
b3601		1	1		1	b3601
b3608		1	1		1	b3608
b3609		1	1		1	b3609
b3614		1	1		1	b3614
b3651		1	1		1	b3651
b3655		1	1		1	b3655
b3657		1	1		1	b3657
b3663		1	1		1	b3663
b3666		1	1		1	b3666
b3667		1	1		1	b3667
b3670		1	1		1	b3670
b3671		1	1		1	b3671
b3674		1	1		1	b3674
b3686		1	1		1	b3686
b3687		1	1		1	b3687
b3688		1	1		1	b3688
b3689		1	1		1	b3689
b3697		1	1		1	b3697
b3698		1	1		1	b3698
b3700		1	1		1	b3700
b3708		1	1		1	b3708
b3712		1	1		1	b3712
b3743		1	1		1	b3743
b3744		1	1		1	b3744
b3745		1	1		1	b3745
b3762		1	1		1	b3762
b3764		1	1		1	b3764
b3773		1	1		1	b3773
b3774		1	1		1	b3774
b3785		1	1		1	b3785
b4404		1	1		1	b4404
b4405		1	1		1	b4405
b3794		1	1		1	b3794
b3800		1	1		1	b3800
b3802		1	1		1	b3802
b3807		1	1		1	b3807
b3821		1	1		1	b3821
b3825		1	1		1	b3825
b3830		1	1		1	b3830
b3831		1	1		1	b3831
b3834		1	1		1	b3834
b3838		1	1		1	b3838
b3840		1	1		1	b3840
b3850		1	1		1	b3850
b3858		1	1		1	b3858
b3862		1	1		1	b3862
b3885		1	1		1	b3885
b3901		1	1		1	b3901
b3902		1	1		1	b3902
b3903		1	1		1	b3903
b3904		1	1		1	b3904
b3905		1	1		1	b3905
b3908		1	1		1	b3908
b3913		1	1		1	b3913
b3914		1	1		1	b3914
b3915		1	1		1	b3915
b3916		1	1		1	b3916
b3918		1	1		1	b3918
b3920		1	1		1	b3920
b3921		1	1		1	b3921
b3922		1	1		1	b3922
b3923		1	1		1	b3923
b3925		1	1		1	b3925
b3930		1	1		1	b3930
b3938		1	1		1	b3938
b3940		1	1		1	b3940
b3943		1	1		1	b3943
b3947		1	1		1	b3947
b3951		1	1		1	b3951
b3952		1	1		1	b3952
b3955		1	1		1	b3955
b3962		1	1		1	b3962
b3964		1	1		1	b3964
b3974		1	1		1	b3974
b3990		1	1		1	b3990
b3991		1	1		1	b3991
b3995		1	1		1	b3995
b3998		1	1		1	b3998
b3999		1	1		1	b3999
b4001		1	1		1	b4001
b4012		1	1		1	b4012
b4016		1	1		1	b4016
b4018		1	1		1	b4018
b4021		1	1		1	b4021
b4022		1	1		1	b4022
b4027		1	1		1	b4027
b4033		1	1		1	b4033
b4034		1	1		1	b4034
b4036		1	1		1	b4036
b4050		1	1		1	b4050
b4056		1	1		1	b4056
b4057		1	1		1	b4057
b4060		1	1		1	b4060
b4070		1	1		1	b4070
b4077		1	1		1	b4077
b4080		1	1		1	b4080
b4081		1	1		1	b4081
b4095		1	1		1	b4095
b4099		1	1		1	b4099
b4100		1	1		1	b4100
b4101		1	1		1	b4101
b4105		1	1		1	b4105
b4106		1	1		1	b4106
b4110		1	1		1	b4110
b4115		1	1		1	b4115
b4119		1	1		1	b4119
b4122		1	1		1	b4122
b4144		1	1		1	b4144
b4145		1	1		1	b4145
b4181		1	1		1	b4181
b4183		1	1		1	b4183
b4188		1	1		1	b4188
b4190		1	1		1	b4190
b4191		1	1		1	b4191
b4192		1	1		1	b4192
b4193		1	1		1	b4193
b4196		1	1		1	b4196
b4197		1	1		1	b4197
b4198		1	1		1	b4198
b4210		1	1		1	b4210
b4216		1	1		1	b4216
b4222		1	1		1	b4222
b4227		1	1		1	b4227
b4228		1	1		1	b4228
b4234		1	1		1	b4234
b4240		1	1		1	b4240
b4244		1	1		1	b4244
b4259		1	1		1	b4259
b4263		1	1		1	b4263
b4360		1	1		1	b4360
b4363		1	1		1	b4363
b4364		1	1		1	b4364
b4367		1	1		1	b4367
b4374		1	1		1	b4374
b4377		1	1		1	b4377
b4379		1	1		1	b4379
b4386		1	1		1	b4386
b4387		1	1		1	b4387
b4390		1	1		1	b4390
b4394		1	1		1	b4394
b4397		1	1		1	b4397
